Input file name,Solution cost,Time spent
ga250a-1,258119.00000,1.30339
ga250a-2,257641.00000,1.25833
ga250a-3,258230.00000,1.24027
ga250a-4,258199.00000,1.14999
ga250a-5,258409.00000,1.17416
ga250b-1,277307.00000,0.92037
ga250b-2,275418.00000,1.05336
ga250b-3,276414.00000,0.78467
ga250b-4,277694.00000,0.89668
ga250b-5,277533.00000,0.93212
ga250c-1,335223.00000,0.83185
ga250c-2,331344.00000,1.13702
ga250c-3,333662.00000,0.96726
ga250c-4,332541.00000,1.00334
ga250c-5,335511.00000,0.86995
ga500a-1,511655.00000,8.65487
ga500a-2,511619.00000,7.70352
ga500a-3,511271.00000,8.55089
ga500a-4,511197.00000,7.65805
ga500a-5,511526.00000,8.56007
ga500b-1,538323.00000,6.30085
ga500b-2,539186.00000,6.77946
ga500b-3,539156.00000,7.35241
ga500b-4,538568.00000,7.30010
ga500b-5,538123.00000,6.93576
ga500c-1,622936.00000,7.09672
ga500c-2,622940.00000,7.18639
ga500c-3,622593.00000,7.23045
ga500c-4,622117.00000,7.56239
ga500c-5,622365.00000,7.49289
ga750a-1,763898.00000,28.61708
ga750a-2,764045.00000,28.23290
ga750a-3,763970.00000,25.68014
ga750a-4,764147.00000,25.81571
ga750a-5,764218.00000,26.25392
ga750b-1,797200.00000,23.91829
ga750b-2,796848.00000,24.90765
ga750b-3,797355.00000,22.51642
ga750b-4,797900.00000,24.43985
ga750b-5,796555.00000,22.66115
ga750c-1,904268.00000,24.10881
ga750c-2,900602.00000,23.22953
ga750c-3,900366.00000,23.05553
ga750c-4,900584.00000,25.15369
ga750c-5,901076.00000,23.31001
gs250a-1,258143.00000,1.19501
gs250a-2,257725.00000,1.15163
gs250a-3,257850.00000,1.08965
gs250a-4,258099.00000,1.12585
gs250a-5,258096.00000,1.15475
gs250b-1,276861.00000,0.97120
gs250b-2,276184.00000,1.00332
gs250b-3,276327.00000,0.94409
gs250b-4,276829.00000,0.83328
gs250b-5,276425.00000,0.89810
gs250c-1,332935.00000,1.03785
gs250c-2,334790.00000,1.03759
gs250c-3,333128.00000,0.87111
gs250c-4,333158.00000,0.78599
gs250c-5,335226.00000,0.99574
gs500a-1,511485.00000,7.89726
gs500a-2,511627.00000,8.80916
gs500a-3,511331.00000,8.53269
gs500a-4,511570.00000,7.72018
gs500a-5,511522.00000,7.62561
gs500b-1,538684.00000,7.02716
gs500b-2,538441.00000,6.87767
gs500b-3,538857.00000,7.05877
gs500b-4,538942.00000,6.95476
gs500b-5,538842.00000,6.76251
gs500c-1,620639.00000,6.52345
gs500c-2,620434.00000,7.86639
gs500c-3,621204.00000,7.63029
gs500c-4,621182.00000,7.03535
gs500c-5,626125.00000,8.02292
gs750a-1,764031.00000,27.38520
gs750a-2,763928.00000,27.75866
gs750a-3,764017.00000,27.60850
gs750a-4,764168.00000,25.22400
gs750a-5,764007.00000,25.99025
gs750b-1,798180.00000,23.05928
gs750b-2,796884.00000,25.44564
gs750b-3,797916.00000,25.11298
gs750b-4,797690.00000,26.21285
gs750b-5,797054.00000,23.45224
gs750c-1,901642.00000,22.17629
gs750c-2,898991.00000,24.29750
gs750c-3,902386.00000,23.61908
gs750c-4,902624.00000,23.71929
gs750c-5,900991.00000,24.43564
