Input file name,Solution cost,Time spent,Optimal
cap71.txt__bf-1_a1-2.5_idle-0.02_lh-10,932615.75000,0.00000,0
cap72.txt__bf-1_a1-2.5_idle-0.02_lh-10,977799.40000,0.00004,0
cap73.txt__bf-1_a1-2.5_idle-0.02_lh-10,1012476.97500,0.00009,0
cap74.txt__bf-1_a1-2.5_idle-0.02_lh-10,1034976.97500,0.00006,0
cap101.txt__bf-1_a1-2.5_idle-0.02_lh-10,797508.72500,0.00003,0
cap102.txt__bf-1_a1-2.5_idle-0.02_lh-10,854704.20000,0.00013,0
cap103.txt__bf-1_a1-2.5_idle-0.02_lh-10,893782.11250,0.00018,0
cap104.txt__bf-1_a1-2.5_idle-0.02_lh-10,928941.75000,0.00003,0
cap131.txt__bf-1_a1-2.5_idle-0.02_lh-10,794299.85000,0.00006,0
cap132.txt__bf-1_a1-2.5_idle-0.02_lh-10,851495.32500,0.00034,0
cap133.txt__bf-1_a1-2.5_idle-0.02_lh-10,893076.71250,0.00016,0
cap134.txt__bf-1_a1-2.5_idle-0.02_lh-10,928941.75000,0.00007,0
capa.txt__bf-1_a1-2.5_idle-0.02_lh-10,17156454.47830,0.00210,0
capb.txt__bf-1_a1-2.5_idle-0.02_lh-10,13070745.08622,0.00004,0
capc.txt__bf-1_a1-2.5_idle-0.02_lh-10,11537545.58976,0.01152,0
B1.1__bf-1_a1-2.5_idle-0.02_lh-10,23932.00000,0.00001,0
B1.2__bf-1_a1-2.5_idle-0.02_lh-10,22119.00000,0.00001,0
B1.3__bf-1_a1-2.5_idle-0.02_lh-10,23549.00000,0.00001,0
B1.4__bf-1_a1-2.5_idle-0.02_lh-10,20747.00000,0.00001,0
B1.5__bf-1_a1-2.5_idle-0.02_lh-10,24200.00000,0.00001,0
B1.6__bf-1_a1-2.5_idle-0.02_lh-10,21014.00000,0.00001,0
B1.7__bf-1_a1-2.5_idle-0.02_lh-10,22103.00000,0.00008,0
B1.8__bf-1_a1-2.5_idle-0.02_lh-10,20340.00000,0.00001,0
B1.9__bf-1_a1-2.5_idle-0.02_lh-10,25132.00000,0.00001,0
B1.10__bf-1_a1-2.5_idle-0.02_lh-10,21864.00000,0.00001,0
C1.1__bf-1_a1-2.5_idle-0.02_lh-10,16985.00000,0.00050,0
C1.2__bf-1_a1-2.5_idle-0.02_lh-10,15842.00000,0.00010,0
C1.3__bf-1_a1-2.5_idle-0.02_lh-10,17668.00000,0.00001,0
C1.4__bf-1_a1-2.5_idle-0.02_lh-10,16836.00000,0.00001,0
C1.5__bf-1_a1-2.5_idle-0.02_lh-10,17610.00000,0.00001,0
C1.6__bf-1_a1-2.5_idle-0.02_lh-10,18108.00000,0.00027,0
C1.7__bf-1_a1-2.5_idle-0.02_lh-10,17436.00000,0.00001,0
C1.8__bf-1_a1-2.5_idle-0.02_lh-10,17677.00000,0.00011,0
C1.9__bf-1_a1-2.5_idle-0.02_lh-10,17788.00000,0.00001,0
C1.10__bf-1_a1-2.5_idle-0.02_lh-10,18242.00000,0.00001,0
D1.1__bf-1_a1-2.5_idle-0.02_lh-10,14205.00000,0.00016,0
D1.2__bf-1_a1-2.5_idle-0.02_lh-10,14723.00000,0.00001,0
D1.3__bf-1_a1-2.5_idle-0.02_lh-10,14580.00000,0.00001,0
D1.4__bf-1_a1-2.5_idle-0.02_lh-10,13209.00000,0.00002,0
D1.5__bf-1_a1-2.5_idle-0.02_lh-10,12166.00000,0.00003,0
D1.6__bf-1_a1-2.5_idle-0.02_lh-10,14179.00000,0.00001,0
D1.7__bf-1_a1-2.5_idle-0.02_lh-10,13844.00000,0.00007,0
D1.8__bf-1_a1-2.5_idle-0.02_lh-10,13350.00000,0.00023,0
D1.9__bf-1_a1-2.5_idle-0.02_lh-10,14160.00000,0.00017,0
D1.10__bf-1_a1-2.5_idle-0.02_lh-10,15091.00000,0.00001,0
D2.1__bf-1_a1-2.5_idle-0.02_lh-10,18312.00000,0.00001,0
D2.2__bf-1_a1-2.5_idle-0.02_lh-10,19439.00000,0.00001,0
D2.3__bf-1_a1-2.5_idle-0.02_lh-10,19860.00000,0.00001,0
D2.4__bf-1_a1-2.5_idle-0.02_lh-10,19041.00000,0.00001,0
D2.5__bf-1_a1-2.5_idle-0.02_lh-10,19789.00000,0.00001,0
D2.6__bf-1_a1-2.5_idle-0.02_lh-10,20224.00000,0.00001,0
D2.7__bf-1_a1-2.5_idle-0.02_lh-10,19898.00000,0.00001,0
D2.8__bf-1_a1-2.5_idle-0.02_lh-10,19852.00000,0.00001,0
D2.9__bf-1_a1-2.5_idle-0.02_lh-10,18494.00000,0.00001,0
D2.10__bf-1_a1-2.5_idle-0.02_lh-10,19141.00000,0.00001,0
D3.1__bf-1_a1-2.5_idle-0.02_lh-10,24276.00000,0.00001,0
D3.2__bf-1_a1-2.5_idle-0.02_lh-10,24424.00000,0.00001,0
D3.3__bf-1_a1-2.5_idle-0.02_lh-10,24446.00000,0.00001,0
D3.4__bf-1_a1-2.5_idle-0.02_lh-10,22741.00000,0.00002,0
D3.5__bf-1_a1-2.5_idle-0.02_lh-10,23571.00000,0.00001,0
D3.6__bf-1_a1-2.5_idle-0.02_lh-10,23511.00000,0.00001,0
D3.7__bf-1_a1-2.5_idle-0.02_lh-10,23019.00000,0.00005,0
D3.8__bf-1_a1-2.5_idle-0.02_lh-10,24226.00000,0.00001,0
D3.9__bf-1_a1-2.5_idle-0.02_lh-10,24775.00000,0.00001,0
D3.10__bf-1_a1-2.5_idle-0.02_lh-10,23144.00000,0.00001,0
D4.1__bf-1_a1-2.5_idle-0.02_lh-10,27431.00000,0.00001,0
D4.2__bf-1_a1-2.5_idle-0.02_lh-10,26850.00000,0.00001,0
D4.3__bf-1_a1-2.5_idle-0.02_lh-10,27313.00000,0.00001,0
D4.4__bf-1_a1-2.5_idle-0.02_lh-10,28419.00000,0.00001,0
D4.5__bf-1_a1-2.5_idle-0.02_lh-10,26014.00000,0.00001,0
D4.6__bf-1_a1-2.5_idle-0.02_lh-10,27446.00000,0.00001,0
D4.7__bf-1_a1-2.5_idle-0.02_lh-10,25724.00000,0.00001,0
D4.8__bf-1_a1-2.5_idle-0.02_lh-10,27700.00000,0.00001,0
D4.9__bf-1_a1-2.5_idle-0.02_lh-10,26660.00000,0.00001,0
D4.10__bf-1_a1-2.5_idle-0.02_lh-10,25261.00000,0.00001,0
D5.1__bf-1_a1-2.5_idle-0.02_lh-10,30829.00000,0.00001,0
D5.2__bf-1_a1-2.5_idle-0.02_lh-10,30428.00000,0.00001,0
D5.3__bf-1_a1-2.5_idle-0.02_lh-10,30101.00000,0.00001,0
D5.4__bf-1_a1-2.5_idle-0.02_lh-10,29879.00000,0.00001,0
D5.5__bf-1_a1-2.5_idle-0.02_lh-10,30736.00000,0.00001,0
D5.6__bf-1_a1-2.5_idle-0.02_lh-10,28497.00000,0.00001,0
D5.7__bf-1_a1-2.5_idle-0.02_lh-10,30674.00000,0.00001,0
D5.8__bf-1_a1-2.5_idle-0.02_lh-10,29708.00000,0.00001,0
D5.9__bf-1_a1-2.5_idle-0.02_lh-10,30220.00000,0.00001,0
D5.10__bf-1_a1-2.5_idle-0.02_lh-10,29233.00000,0.00001,0
D6.1__bf-1_a1-2.5_idle-0.02_lh-10,32187.00000,0.00001,0
D6.2__bf-1_a1-2.5_idle-0.02_lh-10,33757.00000,0.00001,0
D6.3__bf-1_a1-2.5_idle-0.02_lh-10,32491.00000,0.00001,0
D6.4__bf-1_a1-2.5_idle-0.02_lh-10,33281.00000,0.00006,0
D6.5__bf-1_a1-2.5_idle-0.02_lh-10,32999.00000,0.00001,0
D6.6__bf-1_a1-2.5_idle-0.02_lh-10,34066.00000,0.00002,0
D6.7__bf-1_a1-2.5_idle-0.02_lh-10,32506.00000,0.00001,0
D6.8__bf-1_a1-2.5_idle-0.02_lh-10,33481.00000,0.00001,0
D6.9__bf-1_a1-2.5_idle-0.02_lh-10,33152.00000,0.00001,0
D6.10__bf-1_a1-2.5_idle-0.02_lh-10,34466.00000,0.00001,0
D7.1__bf-1_a1-2.5_idle-0.02_lh-10,34549.00000,0.00001,0
D7.2__bf-1_a1-2.5_idle-0.02_lh-10,36147.00000,0.00001,0
D7.3__bf-1_a1-2.5_idle-0.02_lh-10,35382.00000,0.00001,0
D7.4__bf-1_a1-2.5_idle-0.02_lh-10,36580.00000,0.00001,0
D7.5__bf-1_a1-2.5_idle-0.02_lh-10,33040.00000,0.00001,0
D7.6__bf-1_a1-2.5_idle-0.02_lh-10,36834.00000,0.00001,0
D7.7__bf-1_a1-2.5_idle-0.02_lh-10,35308.00000,0.00001,0
D7.8__bf-1_a1-2.5_idle-0.02_lh-10,34193.00000,0.00001,0
D7.9__bf-1_a1-2.5_idle-0.02_lh-10,35821.00000,0.00001,0
D7.10__bf-1_a1-2.5_idle-0.02_lh-10,34227.00000,0.00008,0
D8.1__bf-1_a1-2.5_idle-0.02_lh-10,36941.00000,0.00001,0
D8.2__bf-1_a1-2.5_idle-0.02_lh-10,37050.00000,0.00001,0
D8.3__bf-1_a1-2.5_idle-0.02_lh-10,38211.00000,0.00001,0
D8.4__bf-1_a1-2.5_idle-0.02_lh-10,37453.00000,0.00001,0
D8.5__bf-1_a1-2.5_idle-0.02_lh-10,38294.00000,0.00001,0
D8.6__bf-1_a1-2.5_idle-0.02_lh-10,37606.00000,0.00001,0
D8.7__bf-1_a1-2.5_idle-0.02_lh-10,37861.00000,0.00001,0
D8.8__bf-1_a1-2.5_idle-0.02_lh-10,36208.00000,0.00001,0
D8.9__bf-1_a1-2.5_idle-0.02_lh-10,39887.00000,0.00001,0
D8.10__bf-1_a1-2.5_idle-0.02_lh-10,38472.00000,0.00001,0
D9.1__bf-1_a1-2.5_idle-0.02_lh-10,40917.00000,0.00001,0
D9.2__bf-1_a1-2.5_idle-0.02_lh-10,38258.00000,0.00001,0
D9.3__bf-1_a1-2.5_idle-0.02_lh-10,39704.00000,0.00001,0
D9.4__bf-1_a1-2.5_idle-0.02_lh-10,39939.00000,0.00001,0
D9.5__bf-1_a1-2.5_idle-0.02_lh-10,39602.00000,0.00001,0
D9.6__bf-1_a1-2.5_idle-0.02_lh-10,39457.00000,0.00001,0
D9.7__bf-1_a1-2.5_idle-0.02_lh-10,38540.00000,0.00001,0
D9.8__bf-1_a1-2.5_idle-0.02_lh-10,40725.00000,0.00001,0
D9.9__bf-1_a1-2.5_idle-0.02_lh-10,40786.00000,0.00001,0
D9.10__bf-1_a1-2.5_idle-0.02_lh-10,39310.00000,0.00001,0
D10.1__bf-1_a1-2.5_idle-0.02_lh-10,40996.00000,0.00001,0
D10.2__bf-1_a1-2.5_idle-0.02_lh-10,40995.00000,0.00001,0
D10.3__bf-1_a1-2.5_idle-0.02_lh-10,37698.00000,0.00001,0
D10.4__bf-1_a1-2.5_idle-0.02_lh-10,40783.00000,0.00001,0
D10.5__bf-1_a1-2.5_idle-0.02_lh-10,40635.00000,0.00001,0
D10.6__bf-1_a1-2.5_idle-0.02_lh-10,40908.00000,0.00001,0
D10.7__bf-1_a1-2.5_idle-0.02_lh-10,41372.00000,0.00001,0
D10.8__bf-1_a1-2.5_idle-0.02_lh-10,41595.00000,0.00001,0
D10.9__bf-1_a1-2.5_idle-0.02_lh-10,43054.00000,0.00001,0
D10.10__bf-1_a1-2.5_idle-0.02_lh-10,40809.00000,0.00001,0
E1.1__bf-1_a1-2.5_idle-0.02_lh-10,15140.00000,0.00039,0
E1.2__bf-1_a1-2.5_idle-0.02_lh-10,15080.00000,0.00003,0
E1.3__bf-1_a1-2.5_idle-0.02_lh-10,15395.00000,0.00003,0
E1.4__bf-1_a1-2.5_idle-0.02_lh-10,14198.00000,0.00010,0
E1.5__bf-1_a1-2.5_idle-0.02_lh-10,14787.00000,0.00001,0
E1.6__bf-1_a1-2.5_idle-0.02_lh-10,14426.00000,0.00001,0
E1.7__bf-1_a1-2.5_idle-0.02_lh-10,14242.00000,0.00034,0
E1.8__bf-1_a1-2.5_idle-0.02_lh-10,14342.00000,0.00001,0
E1.9__bf-1_a1-2.5_idle-0.02_lh-10,14537.00000,0.00001,0
E1.10__bf-1_a1-2.5_idle-0.02_lh-10,14973.00000,0.00001,0
E2.1__bf-1_a1-2.5_idle-0.02_lh-10,21435.00000,0.00001,0
E2.2__bf-1_a1-2.5_idle-0.02_lh-10,21314.00000,0.00001,0
E2.3__bf-1_a1-2.5_idle-0.02_lh-10,21057.00000,0.00018,0
E2.4__bf-1_a1-2.5_idle-0.02_lh-10,21851.00000,0.00001,0
E2.5__bf-1_a1-2.5_idle-0.02_lh-10,21163.00000,0.00001,0
E2.6__bf-1_a1-2.5_idle-0.02_lh-10,21761.00000,0.00001,0
E2.7__bf-1_a1-2.5_idle-0.02_lh-10,20975.00000,0.00001,0
E2.8__bf-1_a1-2.5_idle-0.02_lh-10,22046.00000,0.00001,0
E2.9__bf-1_a1-2.5_idle-0.02_lh-10,21907.00000,0.00001,0
E2.10__bf-1_a1-2.5_idle-0.02_lh-10,21667.00000,0.00002,0
E3.1__bf-1_a1-2.5_idle-0.02_lh-10,25486.00000,0.00001,0
E3.2__bf-1_a1-2.5_idle-0.02_lh-10,26529.00000,0.00001,0
E3.3__bf-1_a1-2.5_idle-0.02_lh-10,25739.00000,0.00001,0
E3.4__bf-1_a1-2.5_idle-0.02_lh-10,27047.00000,0.00001,0
E3.5__bf-1_a1-2.5_idle-0.02_lh-10,27149.00000,0.00001,0
E3.6__bf-1_a1-2.5_idle-0.02_lh-10,25673.00000,0.00001,0
E3.7__bf-1_a1-2.5_idle-0.02_lh-10,26055.00000,0.00010,0
E3.8__bf-1_a1-2.5_idle-0.02_lh-10,25490.00000,0.00004,0
E3.9__bf-1_a1-2.5_idle-0.02_lh-10,25798.00000,0.00002,0
E3.10__bf-1_a1-2.5_idle-0.02_lh-10,25659.00000,0.00001,0
E4.1__bf-1_a1-2.5_idle-0.02_lh-10,30859.00000,0.00001,0
E4.2__bf-1_a1-2.5_idle-0.02_lh-10,28047.00000,0.00001,0
E4.3__bf-1_a1-2.5_idle-0.02_lh-10,28650.00000,0.00001,0
E4.4__bf-1_a1-2.5_idle-0.02_lh-10,29870.00000,0.00011,0
