Input file name,Solution cost,Time spent,Optimal
cap71.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,932615.75000,0.00000,0
cap72.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,977799.40000,0.00012,0
cap73.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,1012476.97500,0.00020,0
cap74.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,1034976.97500,0.00003,0
cap101.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,797508.72500,0.00248,0
cap102.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,854704.20000,0.00373,0
cap103.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,894008.13750,0.00378,0
cap104.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,928941.75000,0.00419,0
cap131.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,794299.85000,0.00006,0
cap132.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,851495.32500,0.00582,0
cap133.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,893076.71250,0.00573,0
cap134.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,928941.75000,0.00011,0
capa.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,17156454.47830,0.00489,0
capb.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,13070745.08622,0.00009,0
capc.txt__a1-2.5_l-0.01-0.05_idle-0.02_lh500,11537545.58976,0.23406,0
B1.1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,23932.00000,0.00001,0
B1.2__a1-2.5_l-0.01-0.05_idle-0.02_lh500,22119.00000,0.00001,0
B1.3__a1-2.5_l-0.01-0.05_idle-0.02_lh500,23549.00000,0.00001,0
B1.4__a1-2.5_l-0.01-0.05_idle-0.02_lh500,20747.00000,0.00001,0
B1.5__a1-2.5_l-0.01-0.05_idle-0.02_lh500,24200.00000,0.00001,0
B1.6__a1-2.5_l-0.01-0.05_idle-0.02_lh500,21014.00000,0.00001,0
B1.7__a1-2.5_l-0.01-0.05_idle-0.02_lh500,22103.00000,0.00010,0
B1.8__a1-2.5_l-0.01-0.05_idle-0.02_lh500,20340.00000,0.00001,0
B1.9__a1-2.5_l-0.01-0.05_idle-0.02_lh500,25132.00000,0.00001,0
B1.10__a1-2.5_l-0.01-0.05_idle-0.02_lh500,21864.00000,0.00001,0
C1.1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,16985.00000,0.01388,0
C1.2__a1-2.5_l-0.01-0.05_idle-0.02_lh500,15842.00000,0.00092,0
C1.3__a1-2.5_l-0.01-0.05_idle-0.02_lh500,17668.00000,0.00001,0
C1.4__a1-2.5_l-0.01-0.05_idle-0.02_lh500,16836.00000,0.00001,0
C1.5__a1-2.5_l-0.01-0.05_idle-0.02_lh500,17610.00000,0.00001,0
C1.6__a1-2.5_l-0.01-0.05_idle-0.02_lh500,18108.00000,0.00363,0
C1.7__a1-2.5_l-0.01-0.05_idle-0.02_lh500,17436.00000,0.00001,0
C1.8__a1-2.5_l-0.01-0.05_idle-0.02_lh500,17677.00000,0.00016,0
C1.9__a1-2.5_l-0.01-0.05_idle-0.02_lh500,17788.00000,0.00001,0
C1.10__a1-2.5_l-0.01-0.05_idle-0.02_lh500,18242.00000,0.00003,0
D1.1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,14205.00000,0.00754,0
D1.2__a1-2.5_l-0.01-0.05_idle-0.02_lh500,14723.00000,0.00001,0
D1.3__a1-2.5_l-0.01-0.05_idle-0.02_lh500,14580.00000,0.00001,0
D1.4__a1-2.5_l-0.01-0.05_idle-0.02_lh500,13209.00000,0.00002,0
D1.5__a1-2.5_l-0.01-0.05_idle-0.02_lh500,12166.00000,0.00781,0
D1.6__a1-2.5_l-0.01-0.05_idle-0.02_lh500,14179.00000,0.00001,0
D1.7__a1-2.5_l-0.01-0.05_idle-0.02_lh500,13844.00000,0.00854,0
D1.8__a1-2.5_l-0.01-0.05_idle-0.02_lh500,13350.00000,0.00724,0
D1.9__a1-2.5_l-0.01-0.05_idle-0.02_lh500,14160.00000,0.00728,0
D1.10__a1-2.5_l-0.01-0.05_idle-0.02_lh500,15091.00000,0.00001,0
D2.1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,18312.00000,0.00001,0
D2.2__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19439.00000,0.00001,0
D2.3__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19860.00000,0.00001,0
D2.4__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19041.00000,0.00001,0
D2.5__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19789.00000,0.00001,0
D2.6__a1-2.5_l-0.01-0.05_idle-0.02_lh500,20224.00000,0.00001,0
D2.7__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19898.00000,0.00001,0
D2.8__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19852.00000,0.00001,0
D2.9__a1-2.5_l-0.01-0.05_idle-0.02_lh500,18494.00000,0.00001,0
D2.10__a1-2.5_l-0.01-0.05_idle-0.02_lh500,19141.00000,0.00001,0
D3.1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,24276.00000,0.00001,0
D3.2__a1-2.5_l-0.01-0.05_idle-0.02_lh500,24424.00000,0.00001,0
D3.3__a1-2.5_l-0.01-0.05_idle-0.02_lh500,24446.00000,0.00001,0
D3.4__a1-2.5_l-0.01-0.05_idle-0.02_lh500,22741.00000,0.00006,0
D3.5__a1-2.5_l-0.01-0.05_idle-0.02_lh500,23571.00000,0.00001,0
D3.6__a1-2.5_l-0.01-0.05_idle-0.02_lh500,23511.00000,0.00001,0
