Input file name,Solution cost,Time spent,Optimal
cap71.txt,932615.75000,0.00003,1
cap72.txt,977799.40000,0.00004,1
cap73.txt,1012476.97500,0.00004,1
cap74.txt,1034976.97500,0.00004,1
cap101.txt,797508.72500,0.00013,1
cap102.txt,854704.20000,0.00007,1
cap103.txt,894008.13750,0.00007,1
cap104.txt,928941.75000,0.00007,1
cap131.txt,794299.85000,0.00022,1
cap132.txt,851495.32500,0.00019,1
cap133.txt,893076.71250,0.00017,1
cap134.txt,928941.75000,0.00014,1
capa.txt,17156454.47830,0.00907,1
capb.txt,13070745.08622,0.00792,1
capc.txt,11535255.51020,0.01282,1
B1.1,23468.00000,0.00045,1
B1.2,22119.00000,0.00030,1
B1.3,23549.00000,0.00034,1
B1.4,20747.00000,0.00051,1
B1.5,23976.00000,0.00060,1
B1.6,21014.00000,0.00034,1
B1.7,22103.00000,0.00034,1
B1.8,20338.00000,0.00049,1
B1.9,25132.00000,0.00030,1
B1.10,21864.00000,0.00032,1
C1.1,16985.00000,0.00071,1
C1.2,15842.00000,0.00033,1
C1.3,17668.00000,0.00032,1
C1.4,16799.00000,0.00045,1
C1.5,17610.00000,0.00033,1
C1.6,18108.00000,0.00035,1
C1.7,17414.00000,0.00049,1
C1.8,17677.00000,0.00084,1
C1.9,17576.00000,0.00038,1
C1.10,17994.00000,0.00035,1
D1.1,14205.00000,0.00017,1
D1.2,14418.00000,0.00027,1
D1.3,14580.00000,0.00016,1
D1.4,13209.00000,0.00022,1
D1.5,12166.00000,0.00016,1
D1.6,14159.00000,0.00023,1
D1.7,13844.00000,0.00017,1
D1.8,13350.00000,0.00043,1
D1.9,14160.00000,0.00018,1
D1.10,14654.00000,0.00054,1
D2.1,18312.00000,0.00013,1
D2.2,19235.00000,0.00017,1
D2.3,19801.00000,0.00020,1
D2.4,19041.00000,0.00013,1
D2.5,19789.00000,0.00014,1
D2.6,20224.00000,0.00014,1
D2.7,19665.00000,0.00020,1
D2.8,19839.00000,0.00022,1
D2.9,18415.00000,0.00016,1
D2.10,18910.00000,0.00019,1
D3.1,24030.00000,0.00021,1
D3.2,23940.00000,0.00021,1
D3.3,24319.00000,0.00019,1
D3.4,22636.00000,0.00023,1
D3.5,23571.00000,0.00013,1
D3.6,23049.00000,0.00017,1
D3.7,23019.00000,0.00014,1
D3.8,23385.00000,0.00028,1
D3.9,24646.00000,0.00022,1
D3.10,22411.00000,0.00023,1
D4.1,27431.00000,0.00015,1
D4.2,26652.00000,0.00016,1
D4.3,27313.00000,0.00017,1
D4.4,28307.00000,0.00016,1
D4.5,26014.00000,0.00013,1
D4.6,27024.00000,0.00021,1
D4.7,25724.00000,0.00013,1
D4.8,27700.00000,0.00014,1
D4.9,26151.00000,0.00020,1
D4.10,25261.00000,0.00013,1
D5.1,30829.00000,0.00013,1
D5.2,30428.00000,0.00015,1
D5.3,30082.00000,0.00020,1
D5.4,29879.00000,0.00013,1
D5.5,30736.00000,0.00014,1
D5.6,27865.00000,0.00025,1
D5.7,30674.00000,0.00013,1
D5.8,29708.00000,0.00012,1
D5.9,30147.00000,0.00020,1
D5.10,29233.00000,0.00017,1
D6.1,29098.00000,0.00014,1
D6.2,33757.00000,0.00013,1
D6.3,32119.00000,0.00028,1
D6.4,33281.00000,0.00015,1
D6.5,32999.00000,0.00020,1
D6.6,17250.00000,0.00033,1
D6.7,32222.00000,0.00025,1
D6.8,33481.00000,0.00012,1
D6.9,33152.00000,0.00013,1
D6.10,34466.00000,0.00013,1
D7.1,31150.00000,0.00015,1
D7.2,33445.00000,0.00010,1
D7.3,33915.00000,0.00012,1
D7.4,36580.00000,0.00012,1
D7.5,32353.00000,0.00013,1
D7.6,31644.00000,0.00009,1
D7.7,34265.00000,0.00020,1
D7.8,28993.00000,0.00010,1
D7.9,35821.00000,0.00015,1
D7.10,34227.00000,0.00014,1
D8.1,31853.00000,0.00015,1
D8.2,37050.00000,0.00012,1
D8.3,34387.00000,0.00019,1
D8.4,37453.00000,0.00012,1
D8.5,38294.00000,0.00013,1
D8.6,37606.00000,0.00012,1
D8.7,37861.00000,0.00013,1
D8.8,36208.00000,0.00013,1
D8.9,35849.00000,0.00015,1
D8.10,35129.00000,0.00010,1
D9.1,40917.00000,0.00013,1
D9.2,38258.00000,0.00020,1
D9.3,35460.00000,0.00012,1
D9.4,39939.00000,0.00012,1
D9.5,34961.00000,0.00009,1
D9.6,39457.00000,0.00013,1
D9.7,38540.00000,0.00015,1
D9.8,40725.00000,0.00013,1
D9.9,35148.00000,0.00010,1
D9.10,39310.00000,0.00015,1
D10.1,40996.00000,0.00015,1
D10.2,40995.00000,0.00012,1
D10.3,37698.00000,0.00013,1
D10.4,40783.00000,0.00013,1
D10.5,40635.00000,0.00012,1
D10.6,40908.00000,0.00012,1
D10.7,41372.00000,0.00017,1
D10.8,41595.00000,0.00013,1
D10.9,43054.00000,0.00013,1
D10.10,40809.00000,0.00012,1
E1.1,15140.00000,0.00061,1
E1.2,14482.00000,0.00075,1
E1.3,15395.00000,0.00037,1
E1.4,14198.00000,0.00034,1
E1.5,14787.00000,0.00034,1
E1.6,14426.00000,0.00032,1
E1.7,14242.00000,0.00035,1
E1.8,14181.00000,0.00037,1
E1.9,14537.00000,0.00036,1
E1.10,14658.00000,0.00041,1
E2.1,21410.00000,0.00038,1
E2.2,21314.00000,0.00031,1
E2.3,21057.00000,0.00045,1
E2.4,21566.00000,0.00061,1
E2.5,21163.00000,0.00030,1
E2.6,21761.00000,0.00031,1
E2.7,20975.00000,0.00030,1
E2.8,21480.00000,0.00074,1
E2.9,21447.00000,0.00101,1
E2.10,21667.00000,0.00031,1
E3.1,25486.00000,0.00029,1
E3.2,26351.00000,0.00041,1
E3.3,25739.00000,0.00030,1
E3.4,26451.00000,0.00059,1
E3.5,27149.00000,0.00031,1
E3.6,25673.00000,0.00029,1
E3.7,26055.00000,0.00036,1
E3.8,25490.00000,0.00030,1
E3.9,25798.00000,0.00031,1
E3.10,25659.00000,0.00028,1
E4.1,30585.00000,0.00041,1
E4.2,28047.00000,0.00028,1
E4.3,28650.00000,0.00029,1
E4.4,29372.00000,0.00049,1
E4.5,30508.00000,0.00046,1
E4.6,29941.00000,0.00028,1
E4.7,30548.00000,0.00029,1
E4.8,30181.00000,0.00035,1
E4.9,29609.00000,0.00035,1
E4.10,28481.00000,0.00041,1
E5.1,32377.00000,0.00028,1
E5.2,32894.00000,0.00027,1
E5.3,34489.00000,0.00036,1
E5.4,33342.00000,0.00037,1
E5.5,33655.00000,0.00034,1
E5.6,33212.00000,0.00054,1
E5.7,31629.00000,0.00053,1
E5.8,33251.00000,0.00052,1
E5.9,33877.00000,0.00045,1
E5.10,34446.00000,0.00029,1
E6.1,36566.00000,0.00029,1
E6.2,36441.00000,0.00027,1
E6.3,36554.00000,0.00029,1
E6.4,37153.00000,0.00031,1
E6.5,35607.00000,0.00027,1
E6.6,36404.00000,0.00028,1
E6.7,38422.00000,0.00029,1
E6.8,35751.00000,0.00051,1
E6.9,36235.00000,0.00028,1
E6.10,37570.00000,0.00036,1
E7.1,39901.00000,0.00029,1
E7.2,39737.00000,0.00029,1
E7.3,38669.00000,0.00028,1
E7.4,40317.00000,0.00028,1
E7.5,41083.00000,0.00028,1
E7.6,39703.00000,0.00027,1
E7.7,38845.00000,0.00028,1
E7.8,38636.00000,0.00028,1
E7.9,39092.00000,0.00056,1
E7.10,40115.00000,0.00047,1
E8.1,30567.00000,0.00041,1
E8.2,43364.00000,0.00049,1
E8.3,41027.00000,0.00032,1
E8.4,38976.00000,0.00033,1
E8.5,42547.00000,0.00028,1
E8.6,38243.00000,0.00021,1
E8.7,43086.00000,0.00031,1
E8.8,39480.00000,0.00019,1
E8.9,44328.00000,0.00044,1
E8.10,42107.00000,0.00026,1
E9.1,45446.00000,0.00028,1
E9.2,42408.00000,0.00044,1
E9.3,40432.00000,0.00025,1
E9.4,41316.00000,0.00029,1
E9.5,42334.00000,0.00023,1
E9.6,42443.00000,0.00026,1
E9.7,40785.00000,0.00039,1
E9.8,45684.00000,0.00026,1
E9.9,43516.00000,0.00020,1
E9.10,44162.00000,0.00026,1
E10.1,42364.00000,0.00023,1
E10.2,42831.00000,0.00020,1
E10.3,45658.00000,0.00027,1
E10.4,45852.00000,0.00026,1
E10.5,47652.00000,0.00026,1
E10.6,40033.00000,0.00022,1
E10.7,43317.00000,0.00028,1
E10.8,46678.00000,0.00027,1
E10.9,47515.00000,0.00027,1
E10.10,48146.00000,0.00026,1
