Input file name,Solution cost,Time spent,Optimal
ga250a-1,258121.00000,0.06742,1
ga250a-2,257569.00000,0.03335,1
ga250a-3,258212.00000,0.02728,1
ga250a-4,258225.00000,0.04270,1
ga250a-5,258294.00000,0.01561,1
ga250b-1,276453.00000,0.01399,1
ga250b-2,275526.00000,0.02103,1
ga250b-3,276624.00000,0.01884,1
ga250b-4,276899.00000,0.01395,1
ga250b-5,276749.00000,0.00983,1
ga250c-1,334323.00000,0.01552,1
ga250c-2,331344.00000,0.01749,1
ga250c-3,335891.00000,0.01011,1
ga250c-4,333156.00000,0.01793,1
ga250c-5,334369.00000,0.00894,1
ga500a-1,511543.00000,0.32503,1
ga500a-2,511445.00000,0.24533,1
ga500a-3,511128.00000,0.19914,1
ga500a-4,511178.00000,0.21451,1
ga500a-5,511647.00000,0.12600,1
ga500b-1,539046.00000,0.08630,1
ga500b-2,538927.00000,0.07176,1
ga500b-3,538776.00000,0.09332,1
ga500b-4,538944.00000,0.09454,1
ga500b-5,538693.00000,0.06372,1
ga500c-1,622411.00000,0.03592,1
ga500c-2,622673.00000,0.04791,1
ga500c-3,622770.00000,0.03954,1
ga500c-4,622042.00000,0.04838,1
ga500c-5,622588.00000,0.06774,1
ga750a-1,763725.00000,1.40958,1
ga750a-2,764140.00000,0.37905,1
ga750a-3,763834.00000,0.63620,1
ga750a-4,764166.00000,0.67715,1
ga750a-5,764109.00000,1.38742,1
ga750b-1,797455.00000,0.23225,1
ga750b-2,797102.00000,0.23836,1
ga750b-3,797357.00000,0.17006,1
ga750b-4,797429.00000,0.43917,1
ga750b-5,797150.00000,0.22440,1
ga750c-1,903249.00000,0.19368,1
ga750c-2,900295.00000,0.17484,1
ga750c-3,901267.00000,0.14591,1
ga750c-4,900584.00000,0.15983,1
ga750c-5,902243.00000,0.17779,1
gs250a-1,257964.00000,0.04279,1
gs250a-2,257854.00000,0.02433,1
gs250a-3,257725.00000,0.03819,1
gs250a-4,258136.00000,0.03412,1
gs250a-5,258014.00000,0.06000,1
gs250b-1,277291.00000,0.01020,1
gs250b-2,276518.00000,0.01525,1
gs250b-3,276712.00000,0.01271,1
gs250b-4,276331.00000,0.01389,1
gs250b-5,276051.00000,0.01129,1
gs250c-1,333001.00000,0.01328,1
gs250c-2,335410.00000,0.03067,1
gs250c-3,333891.00000,0.02065,1
gs250c-4,334599.00000,0.02237,1
gs250c-5,335680.00000,0.01788,1
gs500a-1,511371.00000,0.36626,1
gs500a-2,511684.00000,0.17276,1
gs500a-3,511369.00000,0.42135,1
gs500a-4,511530.00000,0.18261,1
gs500a-5,511576.00000,0.26799,1
gs500b-1,538619.00000,0.08162,1
gs500b-2,538130.00000,0.08376,1
gs500b-3,538149.00000,0.06276,1
gs500b-4,537828.00000,0.14476,1
gs500b-5,538375.00000,0.14993,1
gs500c-1,622594.00000,0.06153,1
gs500c-2,620628.00000,0.05466,1
gs500c-3,621980.00000,0.05793,1
gs500c-4,624059.00000,0.06285,1
gs500c-5,624734.00000,0.05241,1
gs750a-1,763922.00000,1.37058,1
gs750a-2,763974.00000,0.72759,1
gs750a-3,764110.00000,1.66086,1
gs750a-4,764308.00000,0.35773,1
gs750a-5,764020.00000,1.50956,1
gs750b-1,798752.00000,0.28707,1
gs750b-2,797232.00000,0.35322,1
gs750b-3,798074.00000,0.22208,1
gs750b-4,796932.00000,0.40563,1
gs750b-5,797278.00000,0.46090,1
gs750c-1,902778.00000,0.10045,1
gs750c-2,898407.00000,0.29186,1
gs750c-3,901653.00000,0.23022,1
gs750c-4,901475.00000,0.26604,1
gs750c-5,900287.00000,0.13737,1
