Input file name,Solution cost,Time spent,Optimal
cap71.txt__bf-1_a1-0.5_l-0.01-0.05,932615.75000,0.00004,0
cap72.txt__bf-1_a1-0.5_l-0.01-0.05,977799.40000,0.00004,0
cap73.txt__bf-1_a1-0.5_l-0.01-0.05,1012476.97500,0.00007,0
cap74.txt__bf-1_a1-0.5_l-0.01-0.05,1034976.97500,0.00007,0
cap101.txt__bf-1_a1-0.5_l-0.01-0.05,797508.72500,0.00008,0
cap102.txt__bf-1_a1-0.5_l-0.01-0.05,854704.20000,0.00010,0
cap103.txt__bf-1_a1-0.5_l-0.01-0.05,894008.13750,0.00010,0
cap104.txt__bf-1_a1-0.5_l-0.01-0.05,928941.75000,0.00017,0
cap131.txt__bf-1_a1-0.5_l-0.01-0.05,794299.85000,0.00039,0
cap132.txt__bf-1_a1-0.5_l-0.01-0.05,851495.32500,0.00042,0
cap133.txt__bf-1_a1-0.5_l-0.01-0.05,893076.71250,0.00041,0
cap134.txt__bf-1_a1-0.5_l-0.01-0.05,928941.75000,0.00049,0
capa.txt__bf-1_a1-0.5_l-0.01-0.05,17156454.47830,0.10853,0
capb.txt__bf-1_a1-0.5_l-0.01-0.05,13070745.08622,0.06729,0
capc.txt__bf-1_a1-0.5_l-0.01-0.05,11537545.58976,0.14955,0
B1.1__bf-1_a1-0.5_l-0.01-0.05,23468.00000,0.00130,0
B1.2__bf-1_a1-0.5_l-0.01-0.05,22119.00000,0.00098,0
B1.3__bf-1_a1-0.5_l-0.01-0.05,23549.00000,0.00093,0
B1.4__bf-1_a1-0.5_l-0.01-0.05,20747.00000,0.00097,0
B1.5__bf-1_a1-0.5_l-0.01-0.05,23976.00000,0.00109,0
B1.6__bf-1_a1-0.5_l-0.01-0.05,21014.00000,0.00112,0
B1.7__bf-1_a1-0.5_l-0.01-0.05,22103.00000,0.00107,0
B1.8__bf-1_a1-0.5_l-0.01-0.05,20338.00000,0.00119,0
B1.9__bf-1_a1-0.5_l-0.01-0.05,25132.00000,0.00106,0
B1.10__bf-1_a1-0.5_l-0.01-0.05,21864.00000,0.00098,0
C1.1__bf-1_a1-0.5_l-0.01-0.05,16985.00000,0.00101,0
C1.2__bf-1_a1-0.5_l-0.01-0.05,15842.00000,0.00094,0
C1.3__bf-1_a1-0.5_l-0.01-0.05,17668.00000,0.00089,0
C1.4__bf-1_a1-0.5_l-0.01-0.05,16799.00000,0.00109,0
C1.5__bf-1_a1-0.5_l-0.01-0.05,17610.00000,0.00092,0
C1.6__bf-1_a1-0.5_l-0.01-0.05,18108.00000,0.00097,0
C1.7__bf-1_a1-0.5_l-0.01-0.05,17436.00000,0.00091,0
C1.8__bf-1_a1-0.5_l-0.01-0.05,17677.00000,0.00106,0
C1.9__bf-1_a1-0.5_l-0.01-0.05,17576.00000,0.00121,0
C1.10__bf-1_a1-0.5_l-0.01-0.05,17994.00000,0.00101,0
D1.1__bf-1_a1-0.5_l-0.01-0.05,14205.00000,0.00033,0
D1.2__bf-1_a1-0.5_l-0.01-0.05,14418.00000,0.00032,0
D1.3__bf-1_a1-0.5_l-0.01-0.05,14580.00000,0.00026,0
D1.4__bf-1_a1-0.5_l-0.01-0.05,13209.00000,0.00026,0
D1.5__bf-1_a1-0.5_l-0.01-0.05,12166.00000,0.00028,0
D1.6__bf-1_a1-0.5_l-0.01-0.05,14159.00000,0.00029,0
D1.7__bf-1_a1-0.5_l-0.01-0.05,13844.00000,0.00033,0
D1.8__bf-1_a1-0.5_l-0.01-0.05,13350.00000,0.00030,0
D1.9__bf-1_a1-0.5_l-0.01-0.05,14160.00000,0.00031,0
D1.10__bf-1_a1-0.5_l-0.01-0.05,14867.00000,0.00031,0
D2.1__bf-1_a1-0.5_l-0.01-0.05,18312.00000,0.00031,0
D2.2__bf-1_a1-0.5_l-0.01-0.05,19235.00000,0.00036,0
D2.3__bf-1_a1-0.5_l-0.01-0.05,19860.00000,0.00027,0
D2.4__bf-1_a1-0.5_l-0.01-0.05,19041.00000,0.00029,0
D2.5__bf-1_a1-0.5_l-0.01-0.05,19789.00000,0.00029,0
D2.6__bf-1_a1-0.5_l-0.01-0.05,20224.00000,0.00026,0
D2.7__bf-1_a1-0.5_l-0.01-0.05,19381.00000,0.00033,0
