Input file name,Solution cost,Time spent,Optimal
ga250a-1__bf-1_a1-0.5_l-0.01-0.05,257985.00000,0.06260,0
ga250a-2__bf-1_a1-0.5_l-0.01-0.05,257502.00000,0.06450,0
ga250a-3__bf-1_a1-0.5_l-0.01-0.05,258083.00000,0.12581,0
ga250a-4__bf-1_a1-0.5_l-0.01-0.05,257987.00000,0.06676,0
ga250a-5__bf-1_a1-0.5_l-0.01-0.05,258204.00000,0.07620,0
ga250b-1__bf-1_a1-0.5_l-0.01-0.05,276296.00000,0.16090,0
ga250b-2__bf-1_a1-0.5_l-0.01-0.05,275141.00000,0.08580,0
ga250b-3__bf-1_a1-0.5_l-0.01-0.05,276093.00000,0.06936,0
ga250b-4__bf-1_a1-0.5_l-0.01-0.05,276413.00000,0.06914,0
ga250b-5__bf-1_a1-0.5_l-0.01-0.05,276404.00000,0.08660,0
ga250c-1__bf-1_a1-0.5_l-0.01-0.05,334135.00000,0.12833,0
ga250c-2__bf-1_a1-0.5_l-0.01-0.05,330728.00000,0.08692,0
ga250c-3__bf-1_a1-0.5_l-0.01-0.05,333662.00000,0.08672,0
ga250c-4__bf-1_a1-0.5_l-0.01-0.05,332423.00000,0.08747,0
ga250c-5__bf-1_a1-0.5_l-0.01-0.05,333538.00000,0.11219,0
ga500a-1__bf-1_a1-0.5_l-0.01-0.05,511413.00000,0.67865,0
ga500a-2__bf-1_a1-0.5_l-0.01-0.05,511342.00000,0.86305,0
ga500a-3__bf-1_a1-0.5_l-0.01-0.05,510817.00000,1.00260,0
ga500a-4__bf-1_a1-0.5_l-0.01-0.05,511117.00000,0.51944,0
ga500a-5__bf-1_a1-0.5_l-0.01-0.05,511256.00000,0.54106,0
ga500b-1__bf-1_a1-0.5_l-0.01-0.05,538060.00000,0.51648,0
ga500b-2__bf-1_a1-0.5_l-0.01-0.05,538177.00000,0.55464,0
ga500b-3__bf-1_a1-0.5_l-0.01-0.05,538109.00000,0.68516,0
ga500b-4__bf-1_a1-0.5_l-0.01-0.05,538084.00000,0.57108,0
ga500b-5__bf-1_a1-0.5_l-0.01-0.05,537642.00000,0.81948,0
ga500c-1__bf-1_a1-0.5_l-0.01-0.05,621505.00000,1.03265,0
ga500c-2__bf-1_a1-0.5_l-0.01-0.05,622628.00000,0.63245,0
ga500c-3__bf-1_a1-0.5_l-0.01-0.05,621841.00000,0.64536,0
ga500c-4__bf-1_a1-0.5_l-0.01-0.05,622042.00000,0.65435,0
ga500c-5__bf-1_a1-0.5_l-0.01-0.05,621313.00000,0.94158,0
ga750a-1__bf-1_a1-0.5_l-0.01-0.05,763532.00000,3.59162,0
ga750a-2__bf-1_a1-0.5_l-0.01-0.05,763659.00000,4.31434,0
ga750a-3__bf-1_a1-0.5_l-0.01-0.05,763744.00000,2.26613,0
ga750a-4__bf-1_a1-0.5_l-0.01-0.05,763968.00000,1.78774,0
ga750a-5__bf-1_a1-0.5_l-0.01-0.05,763898.00000,2.64523,0
ga750b-1__bf-1_a1-0.5_l-0.01-0.05,796560.00000,2.37869,0
ga750b-2__bf-1_a1-0.5_l-0.01-0.05,796052.00000,2.50409,0
ga750b-3__bf-1_a1-0.5_l-0.01-0.05,796429.00000,3.22376,0
ga750b-4__bf-1_a1-0.5_l-0.01-0.05,797104.00000,1.99737,0
ga750b-5__bf-1_a1-0.5_l-0.01-0.05,796537.00000,1.93113,0
ga750c-1__bf-1_a1-0.5_l-0.01-0.05,902771.00000,2.51017,0
ga750c-2__bf-1_a1-0.5_l-0.01-0.05,900602.00000,2.07692,0
ga750c-3__bf-1_a1-0.5_l-0.01-0.05,900366.00000,2.13234,0
