Input file name,Solution cost,Time spent,Optimal
MO1__bf-1_a1-2.5_l-0.01-0.05,1305.95141,0.02336,0
MO2__bf-1_a1-2.5_l-0.01-0.05,1432.35732,0.03384,0
MO3__bf-1_a1-2.5_l-0.01-0.05,1516.77300,0.02542,0
MO4__bf-1_a1-2.5_l-0.01-0.05,1442.23643,0.06625,0
MO5__bf-1_a1-2.5_l-0.01-0.05,1408.76638,0.03250,0
MP1__bf-1_a1-2.5_l-0.01-0.05,2686.47946,0.43122,0
MP2__bf-1_a1-2.5_l-0.01-0.05,2904.85901,0.47116,0
MP3__bf-1_a1-2.5_l-0.01-0.05,2623.70888,0.31264,0
MP4__bf-1_a1-2.5_l-0.01-0.05,2938.75002,0.28969,0
MP5__bf-1_a1-2.5_l-0.01-0.05,2932.33111,0.19784,0
MQ1__bf-1_a1-2.5_l-0.01-0.05,4091.00946,1.23538,0
MQ2__bf-1_a1-2.5_l-0.01-0.05,4028.32573,0.79022,0
MQ3__bf-1_a1-2.5_l-0.01-0.05,4275.43167,1.95612,0
MQ4__bf-1_a1-2.5_l-0.01-0.05,4235.14701,1.50310,0
MQ5__bf-1_a1-2.5_l-0.01-0.05,4080.74290,1.05502,0
MR1__bf-1_a1-2.5_l-0.01-0.05,2608.14833,2.71018,0
MR2__bf-1_a1-2.5_l-0.01-0.05,2654.73466,7.30630,0
MR3__bf-1_a1-2.5_l-0.01-0.05,2793.32419,2.73833,0
MR4__bf-1_a1-2.5_l-0.01-0.05,2756.03860,2.71176,0
MR5__bf-1_a1-2.5_l-0.01-0.05,2505.04775,8.06166,0
MS1__bf-1_a1-2.5_l-0.01-0.05,5283.75739,23.36073,0
MT1__bf-1_a1-2.5_l-0.01-0.05,10069.80277,366.40838,0
