Input file name,Solution cost,Time spent
ga250a-1,258119.00000,1.35148
ga250a-2,257641.00000,1.25200
ga250a-3,258230.00000,1.23098
ga250a-4,258199.00000,1.10819
ga250a-5,258409.00000,1.20794
ga250b-1,277307.00000,0.96194
ga250b-2,275418.00000,1.06050
ga250b-3,276414.00000,0.82877
ga250b-4,277694.00000,0.93864
ga250b-5,277533.00000,0.98734
ga250c-1,335223.00000,0.83087
ga250c-2,331344.00000,1.15834
ga250c-3,333662.00000,0.96669
ga250c-4,332541.00000,0.98817
ga250c-5,335511.00000,0.89221
ga500a-1,511655.00000,8.98461
ga500a-2,511619.00000,8.03485
ga500a-3,511271.00000,8.75230
ga500a-4,511197.00000,8.08778
ga500a-5,511526.00000,8.90703
ga500b-1,538323.00000,6.69984
ga500b-2,539186.00000,7.03235
ga500b-3,539156.00000,7.77444
ga500b-4,538568.00000,7.74419
ga500b-5,538123.00000,7.42408
ga500c-1,622936.00000,7.73513
ga500c-2,622940.00000,7.63026
ga500c-3,622593.00000,7.72981
ga500c-4,622117.00000,8.14053
ga500c-5,622365.00000,8.08633
ga750a-1,763898.00000,30.35430
ga750a-2,764045.00000,32.07885
ga750a-3,763970.00000,30.87670
ga750a-4,764147.00000,29.86531
ga750a-5,764218.00000,30.48089
ga750b-1,797200.00000,26.70820
ga750b-2,796848.00000,28.06533
ga750b-3,797355.00000,24.98627
ga750b-4,797900.00000,27.53385
ga750b-5,796555.00000,25.38619
ga750c-1,904268.00000,27.03527
ga750c-2,900602.00000,26.09285
ga750c-3,900366.00000,25.62681
ga750c-4,900584.00000,28.52462
ga750c-5,901076.00000,26.05791
gs250a-1,258143.00000,1.22822
gs250a-2,257725.00000,1.17503
gs250a-3,257850.00000,1.08393
gs250a-4,258099.00000,1.14580
gs250a-5,258096.00000,1.15918
gs250b-1,276861.00000,0.99849
gs250b-2,276184.00000,0.99560
gs250b-3,276327.00000,0.95870
gs250b-4,276829.00000,0.82564
gs250b-5,276425.00000,0.91202
gs250c-1,332935.00000,1.04035
gs250c-2,334790.00000,1.03441
gs250c-3,333128.00000,0.90068
gs250c-4,333158.00000,0.79943
gs250c-5,335226.00000,1.03134
gs500a-1,511485.00000,8.26313
gs500a-2,511627.00000,9.30687
gs500a-3,511331.00000,8.64694
gs500a-4,511570.00000,8.13152
gs500a-5,511522.00000,8.04350
gs500b-1,538684.00000,7.38698
gs500b-2,538441.00000,7.17063
gs500b-3,538857.00000,7.40066
gs500b-4,538942.00000,7.27832
gs500b-5,538842.00000,7.05188
gs500c-1,620639.00000,6.94148
gs500c-2,620434.00000,8.24120
gs500c-3,621204.00000,8.07210
gs500c-4,621182.00000,7.43964
gs500c-5,626125.00000,8.45967
gs750a-1,764031.00000,30.64615
gs750a-2,763928.00000,31.39052
gs750a-3,764017.00000,30.34223
gs750a-4,764168.00000,28.10571
gs750a-5,764007.00000,29.26623
gs750b-1,798180.00000,25.90079
gs750b-2,796884.00000,28.31310
gs750b-3,797916.00000,28.07794
gs750b-4,797690.00000,26.84508
gs750b-5,797054.00000,26.22822
gs750c-1,901642.00000,24.81508
gs750c-2,898991.00000,27.09978
gs750c-3,902386.00000,26.87605
gs750c-4,902624.00000,26.38978
gs750c-5,900991.00000,28.04539
