Input file name,Solution cost,Time spent
cap71.txt,932615.75000,0.02566
cap72.txt,981538.85000,0.08167
cap73.txt,1015508.93750,0.02538
cap74.txt,1042643.68750,0.02787
cap101.txt,798591.12500,0.03607
cap102.txt,858109.32500,0.04173
cap103.txt,902413.26250,0.03995
cap104.txt,932527.18750,0.04244
cap131.txt,795382.25000,0.07643
cap132.txt,854900.45000,0.08016
cap133.txt,901481.83750,0.07789
cap134.txt,932527.18750,0.07822
capa.txt,17765201.94899,39.95639
capb.txt,13070745.08622,48.89387
capc.txt,11702914.75814,49.73782
B1.1,23932,0.157785
B1.2,22119,0.135479
B1.3,23549,0.153945
B1.4,20747,0.144506
B1.5,24200,0.147563
B1.6,21014,0.155932
B1.7,22293,0.145318
B1.8,20340,0.1481
B1.9,25132,0.145493
B1.10,21864,0.146444
C1.1,17874,0.142031
C1.2,16249,0.102094
C1.3,17668,0.123809
C1.4,16836,0.114348
C1.5,17610,0.118733
C1.6,18358,0.126129
C1.7,17436,0.12109
C1.8,17925,0.151305
C1.9,17788,0.122103
C1.10,18242,0.121948
D1.1,14555,0.079021
D1.2,14723,0.054149
D1.3,14580,0.056093
D1.4,13260,0.041364
D1.5,12573,0.046193
D1.6,14179,0.048268
D1.7,14076,0.047253
D1.8,13846,0.048153
D1.9,14373,0.0402
D1.10,15091,0.047338
D2.1,18312,0.066088
D2.2,19439,0.043034
D2.3,19860,0.049217
D2.4,19041,0.055432
D2.5,19789,0.041461
D2.6,20224,0.053648
D2.7,19898,0.059307
D2.8,19852,0.039932
D2.9,18494,0.040911
D2.10,19141,0.051872
D3.1,24276,0.046479
D3.2,24424,0.045911
D3.3,24446,0.038832
D3.4,23157,0.042661
D3.5,23571,0.073059
D3.6,23511,0.051108
D3.7,23610,0.041137
D3.8,24226,0.043161
D3.9,24775,0.049051
D3.10,23144,0.046191
D4.1,27431,0.05987
D4.2,26850,0.055868
D4.3,27313,0.054446
D4.4,28419,0.059305
D4.5,26014,0.056011
D4.6,27446,0.0578
D4.7,25724,0.044819
D4.8,27700,0.049688
D4.9,26660,0.055332
D4.10,25261,0.035724
D5.1,30829,0.047028
D5.2,30428,0.064221
D5.3,30101,0.038202
D5.4,29879,0.045316
D5.5,30736,0.044971
D5.6,28497,0.051624
D5.7,30674,0.042256
D5.8,29708,0.04661
D5.9,30220,0.039057
D5.10,29233,0.054527
D6.1,32187,0.075767
D6.2,33757,0.042823
D6.3,32491,0.046387
D6.4,33761,0.039766
D6.5,32999,0.035777
D6.6,34066,0.08995
D6.7,32506,0.047212
D6.8,33481,0.05645
D6.9,33152,0.049389
D6.10,34466,0.038321
D7.1,34549,0.038473
D7.2,36147,0.058412
D7.3,35382,0.056478
D7.4,36580,0.057721
D7.5,33040,0.052478
D7.6,36834,0.06519
D7.7,35308,0.062345
D7.8,34193,0.067921
D7.9,35821,0.053613
D7.10,36000,0.049371
D8.1,36941,0.045528
D8.2,37050,0.038722
D8.3,38211,0.042587
D8.4,37453,0.046577
D8.5,38294,0.040708
D8.6,37606,0.050595
D8.7,37861,0.050879
D8.8,36208,0.045494
D8.9,39887,0.049476
D8.10,38472,0.038749
D9.1,40917,0.048409
D9.2,38258,0.045522
D9.3,39704,0.049863
D9.4,39939,0.039219
D9.5,39602,0.044666
D9.6,39457,0.042316
D9.7,38540,0.039589
D9.8,40725,0.042676
D9.9,40786,0.051654
D9.10,39310,0.04231
D10.1,40996,0.043863
D10.2,40995,0.045067
D10.3,37698,0.033064
D10.4,40783,0.069
D10.5,40635,0.040493
D10.6,40908,0.037696
D10.7,41372,0.039217
D10.8,41595,0.038355
D10.9,43054,0.044325
D10.10,40809,0.04183
E1.1,15448,0.121321
E1.2,15178,0.137972
E1.3,15607,0.13569
E1.4,14328,0.163911
E1.5,14787,0.178357
E1.6,14426,0.123432
E1.7,14876,0.124449
E1.8,14342,0.116184
E1.9,14537,0.107579
E1.10,14973,0.151651
E2.1,21435,0.151618
E2.2,21314,0.099764
E2.3,21268,0.099255
E2.4,21851,0.120601
E2.5,21163,0.118824
E2.6,21761,0.108389
E2.7,20975,0.104188
