Input file name,Solution cost,Time spent
cap71.txt,932615.75000,0.02809
cap72.txt,981538.85000,0.11122
cap73.txt,1015508.93750,0.02899
cap74.txt,1042643.68750,0.04151
cap101.txt,798591.12500,0.05354
cap102.txt,858109.32500,0.06041
cap103.txt,902413.26250,0.09759
cap104.txt,932527.18750,0.05461
cap131.txt,795382.25000,0.15328
cap132.txt,854900.45000,0.10391
cap133.txt,901481.83750,0.11140
cap134.txt,932527.18750,0.11677
capa.txt,17765201.94899,40.94411
capb.txt,13070745.08622,49.57150
capc.txt,11702914.75814,52.82680
B1.1,23932.00000,0.17881
B1.2,22119.00000,0.13244
B1.3,23549.00000,0.20287
B1.4,20747.00000,0.19495
B1.5,24200.00000,0.15904
B1.6,21014.00000,0.18587
B1.7,22293.00000,0.15477
B1.8,20340.00000,0.17870
B1.9,25132.00000,0.16084
B1.10,21864.00000,0.19742
C1.1,17874.00000,0.15603
C1.2,16249.00000,0.15212
C1.3,17668.00000,0.15529
C1.4,16836.00000,0.18139
C1.5,17610.00000,0.12333
C1.6,18358.00000,0.16652
C1.7,17436.00000,0.12890
C1.8,17925.00000,0.15890
C1.9,17788.00000,0.11166
C1.10,18242.00000,0.13029
D1.1,14555.00000,0.09550
D1.2,14723.00000,0.05573
D1.3,14580.00000,0.06328
D1.4,13260.00000,0.07033
D1.5,12573.00000,0.05683
D1.6,14179.00000,0.11038
D1.7,14076.00000,0.05440
D1.8,13846.00000,0.07287
D1.9,14373.00000,0.11708
D1.10,15091.00000,0.05602
D2.1,18312.00000,0.04228
D2.2,19439.00000,0.04741
D2.3,19860.00000,0.04836
D2.4,19041.00000,0.11475
D2.5,19789.00000,0.03910
D2.6,20224.00000,0.06485
D2.7,19898.00000,0.06221
D2.8,19852.00000,0.04652
D2.9,18494.00000,0.10867
D2.10,19141.00000,0.05944
D3.1,24276.00000,0.09159
D3.2,24424.00000,0.04382
D3.3,24446.00000,0.05053
D3.4,23157.00000,0.07087
D3.5,23571.00000,0.09295
D3.6,23511.00000,0.04580
D3.7,23610.00000,0.05867
D3.8,24226.00000,0.06153
D3.9,24775.00000,0.07310
D3.10,23144.00000,0.04913
D4.1,27431.00000,0.07562
D4.2,26850.00000,0.04902
D4.3,27313.00000,0.10268
D4.4,28419.00000,0.12058
D4.5,26014.00000,0.06895
D4.6,27446.00000,0.06387
D4.7,25724.00000,0.04574
D4.8,27700.00000,0.06903
D4.9,26660.00000,0.09871
D4.10,25261.00000,0.06390
D5.1,30829.00000,0.06910
D5.2,30428.00000,0.06417
D5.3,30101.00000,0.04113
D5.4,29879.00000,0.09230
D5.5,30736.00000,0.04786
D5.6,28497.00000,0.06242
D5.7,30674.00000,0.06750
D5.8,29708.00000,0.09288
D5.9,30220.00000,0.03849
D5.10,29233.00000,0.05265
D6.1,32187.00000,0.06355
D6.2,33757.00000,0.06711
D6.3,32491.00000,0.04897
D6.4,33761.00000,0.06510
D6.5,32999.00000,0.04216
D6.6,34066.00000,0.07961
D6.7,32506.00000,0.07791
D6.8,33481.00000,0.06290
D6.9,33152.00000,0.07111
D6.10,34466.00000,0.08262
D7.1,34549.00000,0.10214
D7.2,36147.00000,0.05731
D7.3,35382.00000,0.07041
D7.4,36580.00000,0.06899
D7.5,33040.00000,0.10599
D7.6,36834.00000,0.09630
D7.7,35308.00000,0.06089
D7.8,34193.00000,0.06801
D7.9,35821.00000,0.04819
D7.10,36000.00000,0.08434
D8.1,36941.00000,0.06606
D8.2,37050.00000,0.06652
D8.3,38211.00000,0.07222
D8.4,37453.00000,0.07999
D8.5,38294.00000,0.04505
D8.6,37606.00000,0.05305
D8.7,37861.00000,0.05159
D8.8,36208.00000,0.10612
D8.9,39887.00000,0.05581
D8.10,38472.00000,0.08077
D9.1,40917.00000,0.05330
D9.2,38258.00000,0.04584
D9.3,39704.00000,0.07000
D9.4,39939.00000,0.03900
D9.5,39602.00000,0.03944
D9.6,39457.00000,0.04170
D9.7,38540.00000,0.05088
D9.8,40725.00000,0.03906
D9.9,40786.00000,0.04827
D9.10,39310.00000,0.05988
D10.1,40996.00000,0.04260
D10.2,40995.00000,0.04812
D10.3,37698.00000,0.06356
D10.4,40783.00000,0.09589
D10.5,40635.00000,0.06100
D10.6,40908.00000,0.05624
D10.7,41372.00000,0.04504
D10.8,41595.00000,0.03640
D10.9,43054.00000,0.04643
D10.10,40809.00000,0.04854
E1.1,15448.00000,0.14743
E1.2,15178.00000,0.14165
E1.3,15607.00000,0.13352
E1.4,14328.00000,0.15467
E1.5,14787.00000,0.13068
E1.6,14426.00000,0.11170
E1.7,14876.00000,0.19234
E1.8,14342.00000,0.15713
E1.9,14537.00000,0.10455
E1.10,14973.00000,0.13256
E2.1,21435.00000,0.18153
E2.2,21314.00000,0.10934
E2.3,21268.00000,0.17053
E2.4,21851.00000,0.16607
E2.5,21163.00000,0.17551
E2.6,21761.00000,0.19746
E2.7,20975.00000,0.11060
E2.8,22046.00000,0.08687
E2.9,21907.00000,0.13168
E2.10,21667.00000,0.14312
E3.1,25486.00000,0.10128
E3.2,26529.00000,0.10504
E3.3,25739.00000,0.11149
E3.4,27047.00000,0.11790
E3.5,27149.00000,0.17590
E3.6,25673.00000,0.14157
E3.7,26361.00000,0.11040
E3.8,25994.00000,0.13677
E3.9,25798.00000,0.15753
E3.10,25659.00000,0.16390
E4.1,30859.00000,0.11059
E4.2,28047.00000,0.11621
E4.3,28650.00000,0.09170
E4.4,29939.00000,0.12311
E4.5,30959.00000,0.10972
E4.6,29941.00000,0.10802
E4.7,30548.00000,0.11911
E4.8,30218.00000,0.09392
E4.9,30045.00000,0.10023
E4.10,28910.00000,0.10938
E5.1,32377.00000,0.11335
E5.2,32894.00000,0.15501
E5.3,34975.00000,0.26795
E5.4,33748.00000,0.21616
E5.5,35077.00000,0.37974
E5.6,34832.00000,0.12169
E5.7,32021.00000,0.16165
E5.8,33419.00000,0.09813
E5.9,35334.00000,0.11959
E5.10,34446.00000,0.10532
E6.1,36566.00000,0.12818
E6.2,36441.00000,0.11745
E6.3,36554.00000,0.08530
E6.4,38833.00000,0.13426
E6.5,35607.00000,0.13311
E6.6,36404.00000,0.11515
E6.7,38422.00000,0.11462
E6.8,35770.00000,0.10127
E6.9,36235.00000,0.10756
E6.10,37936.00000,0.09908
E7.1,39901.00000,0.08826
E7.2,39737.00000,0.09098
E7.3,38669.00000,0.07420
E7.4,40317.00000,0.10745
E7.5,41083.00000,0.09380
E7.6,39703.00000,0.18231
E7.7,38845.00000,0.14500
E7.8,38636.00000,0.13951
E7.9,39890.00000,0.14239
E7.10,40870.00000,0.12241
E8.1,42558.00000,0.10848
E8.2,43396.00000,0.12319
E8.3,41928.00000,0.12707
E8.4,41863.00000,0.10129
E8.5,42547.00000,0.10516
E8.6,42057.00000,0.11936
E8.7,43086.00000,0.10182
E8.8,42568.00000,0.15811
E8.9,44605.00000,0.14852
E8.10,42107.00000,0.10961
E9.1,45446.00000,0.14366
E9.2,46376.00000,0.14601
E9.3,44892.00000,0.14988
E9.4,44477.00000,0.18048
E9.5,45360.00000,0.13297
E9.6,42443.00000,0.18365
E9.7,45153.00000,0.16367
E9.8,45684.00000,0.12708
E9.9,45661.00000,0.12133
E9.10,44162.00000,0.15950
E10.1,47462.00000,0.09780
E10.2,48817.00000,0.11508
E10.3,45658.00000,0.17297
E10.4,45852.00000,0.11050
E10.5,47652.00000,0.11797
E10.6,46474.00000,0.13568
E10.7,46884.00000,0.12549
E10.8,46678.00000,0.12738
E10.9,47515.00000,0.13889
E10.10,48146.00000,0.20248
