Input file name,Solution cost,Time spent,Optimal
ga250a-1,257618.9797124965,5.395675897598267,1
ga250a-2,257253.05930771434,3.7104389667510986,1
ga250a-3,257553.7686412274,3.6558678150177,1
ga250a-4,257659.8561057457,3.8294789791107178,1
ga250a-5,257787.6573140388,3.781738758087158,1
ga250b-1,273297.70639858407,8.566033840179443,1
ga250b-2,272721.527186755,6.6231348514556885,1
ga250b-3,273460.6985449033,7.080088138580322,1
ga250b-4,273668.1902054252,7.049203872680664,1
ga250b-5,273678.7395769194,7.248242139816284,1
ga250c-1,322967.1410000815,8.390613079071045,1
ga250c-2,321241.6899701287,8.611238718032837,1
ga250c-3,322884.4975065972,7.979382038116455,1
ga250c-4,322223.2874667659,9.21212887763977,1
ga250c-5,323048.67415437085,8.068735122680664,1
ga500a-1,510588.96603526094,19.877002000808716,1
ga500a-2,510472.2437150156,22.37159824371338,1
ga500a-3,510139.03596969263,19.247356176376343,1
ga500a-4,510382.6053499021,20.279846906661987,1
ga500a-5,510487.72090861975,18.74802827835083,1
ga500b-1,533338.5748547547,39.52721691131592,1
ga500b-2,533087.5736446098,35.85232472419739,1
ga500b-3,532735.6923125931,34.40026497840881,1
ga500b-4,532841.9354453426,35.74822497367859,1
ga500b-5,532968.8082834674,37.39303493499756,1
ga500c-1,602860.9910826734,38.50862097740173,1
ga500c-2,602812.4535625238,37.49920392036438,1
ga500c-3,602380.2238127866,39.163437843322754,1
ga500c-4,603260.801049531,38.76398801803589,1
ga500c-5,601500.7404554582,34.05394411087036,1
ga750a-1,762464.4543606916,46.1196448802948,1
ga750a-2,762520.152256505,45.03940391540527,1
ga750a-3,762568.514545061,44.50835394859314,1
ga750a-4,762738.5141895211,47.746626138687134,1
ga750a-5,762637.0323256997,42.007476806640625,1
ga750b-1,790121.8739998682,107.78551411628723,1
ga750b-2,789512.4318806886,107.61416506767273,1
ga750b-3,789618.4642548539,98.18354511260986,1
ga750b-4,790345.060692841,98.16683387756348,1
ga750b-5,789647.2571450074,116.02323365211487,1
ga750c-1,875624.6741566864,96.98209190368652,1
ga750c-2,873946.7189547706,121.93199968338013,1
ga750c-3,874108.9109320425,114.90445017814636,1
ga750c-4,875565.9286803915,123.63930892944336,1
ga750c-5,873191.4683024321,113.49409890174866,1
gs250a-1,257640.73928381046,3.117907762527466,1
gs250a-2,257294.1373230658,3.1817469596862793,1
gs250a-3,257260.29984959002,3.295689344406128,1
gs250a-4,257611.33808386372,3.1639559268951416,1
gs250a-5,257573.60045319426,3.0427939891815186,1
gs250b-1,273700.34201095434,6.468762159347534,1
gs250b-2,273034.9264192865,6.276824235916138,1
gs250b-3,273048.5153922662,6.156454086303711,1
gs250b-4,273738.3618522074,6.42443585395813,1
gs250b-5,273373.3696214997,6.530619144439697,1
gs250c-1,322705.42139259225,7.322886943817139,1
gs250c-2,323223.55767093576,7.354807138442993,1
gs250c-3,321988.9376293057,7.438866138458252,1
gs250c-4,322939.71279993484,6.907064199447632,1
gs250c-5,322664.1968818159,7.06359601020813,1
gs500a-1,510409.8978960869,16.53712797164917,1
gs500a-2,510448.7279053577,16.100218057632446,1
gs500a-3,510321.431712321,16.067524194717407,1
gs500a-4,510369.56949030823,16.70063018798828,1
gs500a-5,510494.4884615621,16.752712965011597,1
gs500b-1,533026.6731904343,34.98416090011597,1
gs500b-2,533096.0566785868,40.9539749622345,1
gs500b-3,532832.1852387076,44.248039960861206,1
gs500b-4,532717.2185131534,36.22260665893555,1
gs500b-5,533098.1498061243,35.15484309196472,1
gs500c-1,601986.204326196,39.11713790893555,1
gs500c-2,602293.4186775429,44.70956587791443,1
gs500c-3,601981.858468148,42.00753998756409,1
gs500c-4,602136.7523478117,42.91976881027222,1
gs500c-5,603116.0103649569,46.69749593734741,1
gs750a-1,762564.9299044693,50.24058699607849,1
gs750a-2,762529.4359708141,50.909225940704346,1
gs750a-3,762568.101380328,45.420066118240356,1
gs750a-4,762788.2976043166,61.75646114349365,1
gs750a-5,762528.8667008303,52.14492702484131,1
gs750b-1,790349.3877217554,112.79850912094116,1
gs750b-2,789669.865854699,121.93738222122192,1
gs750b-3,789935.5685335958,126.28106689453125,1
gs750b-4,790080.7895000285,106.06200575828552,1
gs750b-5,789902.8144770826,121.41687798500061,1
gs750c-1,875363.8757402477,138.2078037261963,1
gs750c-2,874186.5819195283,127.49874091148376,1
gs750c-3,874762.4681514254,117.83520603179932,1
gs750c-4,875410.5697934639,104.97897100448608,1
gs750c-5,875956.3526808013,119.8753719329834,1
