Input file name,Solution cost,Time spent,Optimal
ga250a-1,257618.97971249622,1.4837579727172852,1
ga250a-2,257253.0593077144,1.5992047786712646,1
ga250a-3,257553.76864122736,1.548856258392334,1
ga250a-4,257659.8561057458,1.5492591857910156,1
ga250a-5,257787.65731403884,1.6566579341888428,1
ga250b-1,273297.70639858407,3.0246782302856445,1
ga250b-2,272721.527186755,2.927276849746704,1
ga250b-3,273460.69854490337,2.898077964782715,1
ga250b-4,273668.1902054252,3.000488042831421,1
ga250b-5,273678.7395769194,2.67327880859375,1
ga250c-1,322967.1410000815,3.047027111053467,1
ga250c-2,321241.6899701287,3.2081668376922607,1
ga250c-3,322884.49750659714,3.103998899459839,1
ga250c-4,322223.2874667659,3.029385805130005,1
ga250c-5,323048.67415437085,2.801938056945801,1
ga500a-1,510588.966035261,7.38875412940979,1
ga500a-2,510472.2437150155,7.4871861934661865,1
ga500a-3,510139.03596969263,7.182053089141846,1
ga500a-4,510382.6053499021,7.582208871841431,1
ga500a-5,510487.72090861975,7.095815896987915,1
ga500b-1,533338.5748547548,16.687204122543335,1
ga500b-2,533087.5736446107,17.027440071105957,1
ga500b-3,532735.692312593,15.869389057159424,1
ga500b-4,532841.9354453426,17.45741105079651,1
ga500b-5,532968.8082834674,16.91091799736023,1
ga500c-1,602860.9910826733,18.370067834854126,1
ga500c-2,602812.4535625256,17.839654207229614,1
ga500c-3,602380.2238127858,17.799151182174683,1
ga500c-4,603260.801049531,17.37519383430481,1
ga500c-5,601500.7404554582,15.755698204040527,1
ga750a-1,762464.4543606916,20.107146978378296,1
ga750a-2,762520.152256505,19.557297945022583,1
ga750a-3,762568.5145450609,19.727748155593872,1
ga750a-4,762738.5141895211,19.931931257247925,1
ga750a-5,762637.0323256999,19.700855016708374,1
ga750b-1,790121.8739998682,49.716493129730225,1
ga750b-2,789512.4318806888,48.780632734298706,1
ga750b-3,789618.4642548539,42.427199840545654,1
ga750b-4,790345.0606928411,45.81520199775696,1
ga750b-5,789647.2571450071,49.59796500205994,1
ga750c-1,875624.6741566866,44.63591122627258,1
ga750c-2,873946.718954771,48.82137894630432,1
ga750c-3,874108.9109320426,50.19172215461731,1
ga750c-4,875565.9286803922,49.23198699951172,1
ga750c-5,873191.4683024322,47.702455043792725,1
gs250a-1,257640.73928381046,1.4785900115966797,1
gs250a-2,257294.13732306575,1.4937291145324707,1
gs250a-3,257260.29984959002,1.501250982284546,1
gs250a-4,257611.33808386375,1.4740939140319824,1
gs250a-5,257573.6004531944,1.4779908657073975,1
gs250b-1,273700.3420109543,2.7586660385131836,1
gs250b-2,273034.9264192865,2.698997974395752,1
gs250b-3,273048.5153922662,2.7924141883850098,1
gs250b-4,273738.36185220745,2.7421412467956543,1
gs250b-5,273373.3696214997,2.7752060890197754,1
gs250c-1,322705.42139259225,3.285456895828247,1
gs250c-2,323223.55767093576,3.1036288738250732,1
gs250c-3,321988.93762930564,3.1395092010498047,1
gs250c-4,322939.71279993484,2.9096009731292725,1
gs250c-5,322664.19688181585,3.1405959129333496,1
gs500a-1,510409.89789608686,7.21760106086731,1
gs500a-2,510448.72790535766,7.275844097137451,1
gs500a-3,510321.4317123209,7.084917068481445,1
gs500a-4,510369.56949030823,7.216233968734741,1
gs500a-5,510494.4884615621,7.243701934814453,1
gs500b-1,533026.6731904343,15.944745302200317,1
gs500b-2,533096.0566785868,16.335214138031006,1
gs500b-3,532832.1852387084,16.47128701210022,1
gs500b-4,532717.2185131534,15.300432920455933,1
gs500b-5,533098.1498061243,16.503055095672607,1
gs500c-1,601986.2043261948,17.803144216537476,1
gs500c-2,602293.418677543,18.909653902053833,1
gs500c-3,601981.858468148,16.30130887031555,1
gs500c-4,602136.7523478117,16.732447147369385,1
gs500c-5,603116.0103649554,17.587512969970703,1
gs750a-1,762564.9299044693,19.31201481819153,1
gs750a-2,762529.4359708141,19.323930025100708,1
gs750a-3,762568.101380328,19.707911014556885,1
gs750a-4,762788.2976043165,20.15807008743286,1
gs750a-5,762528.8667008303,20.127424001693726,1
gs750b-1,790349.3877217526,44.4847469329834,1
gs750b-2,789669.8658546978,45.25623965263367,1
gs750b-3,789935.568533596,44.1191291809082,1
gs750b-4,790080.7895000282,45.12081813812256,1
gs750b-5,789902.8144770826,45.639055013656616,1
gs750c-1,875363.8757402467,51.8601291179657,1
gs750c-2,874186.5819195292,54.12120079994202,1
gs750c-3,874762.4681514252,47.09187698364258,1
gs750c-4,875410.569793464,46.841782569885254,1
gs750c-5,875956.3526808015,53.50086307525635,1
