time spent so far, current solution cost, current qty moves
-2.80025e+10,763898,0
1.5e-05,763865,76
43.6122,763845,626
47.4348,763831,805
49.1866,763827,808
138.322,763823,1161
214.957,763818,1818
216.272,763787,1874
262.931,763772,2548
365.727,763739,3806
441.706,763733,4557
459.583,763718,4730
483.142,763716,5076
487.415,763695,5082
497.196,763683,5834
538.967,763676,6808
585.366,763659,7200
609.953,763650,7830
659.804,763647,8584
661.05,763625,8613
691.934,763622,9371
702.074,763621,9766
759.426,763619,10535
792.516,763614,11360
826.589,763614,13236
