time spent so far, current solution cost, current qty moves
-3.10913e+09,764045,0
5e-06,764020,86
1.77224,764007,232
1.92321,764005,235
3.20353,763996,251
5.04253,763968,710
9.48025,763960,1462
9.51284,763959,1472
13.1515,763957,2011
13.2279,763936,2268
15.0193,763921,2418
15.3313,763909,2597
18.266,763905,3120
22.542,763885,3362
25.2614,763875,3894
25.5864,763874,4183
25.6851,763856,4239
26.3004,763851,4261
26.3758,763850,4680
27.7324,763841,4970
28.4756,763836,5430
28.6297,763835,5757
29.2096,763835,7633
