time spent so far, current solution cost, current qty moves
-2.87622e+09,763898,0
1.2e-05,763865,76
5.77535,763845,626
6.38405,763831,805
6.61635,763827,808
18.2117,763823,1161
28.4239,763818,1818
28.608,763787,1874
35.1309,763772,2548
48.4629,763739,3806
57.8282,763733,4557
60.1116,763718,4730
63.3566,763716,5076
63.9835,763695,5082
65.3843,763683,5834
70.9367,763676,6808
76.9563,763659,7200
80.2407,763650,7830
86.8315,763647,8584
86.9977,763625,8613
90.9727,763622,9371
92.3739,763621,9766
99.7064,763619,10535
104.008,763614,11360
108.442,763614,13236
