time spent so far, current solution cost, current qty moves
-2.50155e+10,258119,0
1.3e-05,258087,43
0.108664,258079,53
0.20293,258023,109
0.923455,257995,291
1.01427,257935,293
2.70224,257906,344
4.36944,257901,379
4.4469,257841,380
8.17782,257797,553
10.1318,257749,605
11.0378,257742,611
13.09,257724,631
15.3226,257697,762
17.6404,257685,808
19.9796,257643,869
21.9746,257580,920
27.0682,257530,1058
30.3688,257440,1134
30.4399,257410,1135
30.6877,257370,1136
38.9701,257249,1310
42.0827,257237,1388
42.1686,257209,1389
46.3508,257140,1540
51.026,257048,1642
51.1055,256980,1643
51.1822,256877,1644
56.9702,256876,1795
64.1249,256705,1948
68.0809,256686,2050
79.795,256650,2310
80.3175,256580,2312
81.0479,256515,2314
81.1867,256477,2315
87.466,256372,2425
92.4779,256369,2567
92.827,256149,2568
105.732,256090,2872
114.126,256061,3072
116.348,255899,3126
122.244,255812,3301
125.47,255781,3323
129.18,255605,3379
142.652,255537,3632
145.614,255398,3746
153.756,255323,3948
154.421,255274,3997
154.436,255149,3998
162.205,254988,4200
170.023,254979,4451
170.133,254860,4452
170.2,254815,4453
178.551,254562,4704
189.285,254558,4957
189.396,254455,4958
189.462,254413,4959
195.523,254395,5212
200.945,254352,5449
201.655,254293,5488
208.064,254224,5700
213.751,254211,5944
214.032,254185,5947
214.766,254165,5993
215.14,254162,6005
216.795,254157,6030
220.118,254114,6194
220.216,254089,6196
220.433,254016,6198
221.409,253998,6263
221.912,253989,6264
226.001,253983,6447
226.074,253953,6449
226.15,253827,6452
228.79,253817,6535
231.107,253763,6697
231.466,253739,6716
235.519,253713,6966
235.6,253693,6974
235.669,253664,6976
235.823,253657,6993
236.72,253630,7023
240.9,253606,7216
241.119,253505,7230
244.661,253489,7476
244.779,253469,7493
246.486,253453,7557
247.401,253448,7724
247.52,253423,7741
249.32,253416,7976
251.834,253367,8216
251.991,253351,8226
252.313,253343,8288
254.035,253311,8466
254.262,253285,8491
256.605,253246,8716
256.763,253240,8741
256.798,253166,8743
259.353,253128,9216
259.499,253116,9226
261.326,253108,9476
262.662,253080,9716
262.829,253035,9741
264.984,253022,9966
265.238,253021,9991
265.293,252947,9993
267.855,252900,10466
268.9,252879,10726
270.353,252878,10966
270.425,252870,10974
270.484,252841,10976
271.454,252828,11161
271.923,252809,11216
272.171,252784,11254
274.439,252757,11476
275.576,252734,11669
275.729,252677,11673
276.407,252646,11726
276.525,252602,11734
278.889,252581,11925
279.894,252553,11984
279.942,252432,11986
282.985,252375,12236
283.028,252292,12238
283.146,252287,12243
285.304,252248,12486
285.39,252127,12496
287.906,252116,12747
292.5,252058,12999
295.326,251940,13172
300.381,251909,13424
300.466,251810,13425
306.011,251804,13683
306.15,251730,13684
307.205,251634,13750
312.144,251632,13935
312.818,251595,13961
313.205,251579,13978
313.346,251575,14001
319.521,251455,14187
320.617,251421,14228
326.854,251305,14461
327.19,251254,14476
334.022,251225,14685
334.187,251209,14693
334.295,251177,14694
334.882,251132,14711
334.941,251109,14715
335.222,251100,14727
335.277,251054,14728
340.287,250997,14844
342.384,250929,14961
342.801,250788,14979
347.816,250751,15086
350.75,250740,15215
351.137,250601,15230
359.112,250586,15461
359.373,250537,15472
359.68,250470,15494
362.487,250455,15557
362.828,250369,15558
367.183,250363,15709
367.263,250263,15711
367.321,250219,15715
367.722,250164,15725
373.795,250043,15971
373.858,249918,15972
378.594,249910,16223
384.303,249826,16475
389.004,249780,16745
