time spent so far, current solution cost, current qty moves
-3.00397e+09,511271,0
5e-06,511258,148
0.100094,511253,189
0.146825,511224,233
2.11974,511215,934
2.74661,511196,1118
2.79539,511192,1132
4.02454,511182,1439
4.85079,511176,1648
5.26548,511173,1790
6.30581,511147,2299
8.27535,511145,3109
8.99485,511136,3370
9.59855,511113,3914
10.2282,511106,4451
10.8699,511087,4870
11.0364,511083,5374
12.3239,511072,6617
13.8627,511057,7148
15.7986,511053,8230
16.7281,511051,8757
16.9501,511040,9145
18.8682,511040,10396
