time spent so far, current solution cost, current qty moves
-2.78414e+09,764007,0
4e-06,764000,13
1.59743,763998,202
3.05693,763987,282
3.33659,763986,404
4.18555,763984,431
5.12267,763982,483
5.83771,763954,720
5.87351,763950,731
12.0157,763948,1237
21.6406,763947,2522
23.0928,763943,2600
26.0016,763922,2982
26.0277,763916,3001
35.2671,763905,4281
35.7717,763902,4300
42.451,763899,4944
44.7699,763889,5512
46.0917,763888,5533
47.4411,763884,5888
47.6952,763873,6099
50.4366,763863,6513
52.7145,763861,7316
54.8413,763853,7783
60.7653,763853,9835
