Input file name,Solution cost,Time spent,Optimal
ga250a-1__bf-1_a1-2.5_idle-0.02_lh-1,258023.00000,0.35524,0
ga250a-1__bf-1_a1-2.5_idle-0.02_lh-10,258010.00000,3.03318,0
ga250a-2__bf-1_a1-2.5_idle-0.02_lh-1,257583.00000,0.48861,0
ga250a-2__bf-1_a1-2.5_idle-0.02_lh-10,257583.00000,2.33179,0
ga250a-3__bf-1_a1-2.5_idle-0.02_lh-1,258141.00000,1.07854,0
ga250a-3__bf-1_a1-2.5_idle-0.02_lh-10,258141.00000,2.96456,0
ga250a-4__bf-1_a1-2.5_idle-0.02_lh-1,258108.00000,1.05402,0
ga250a-4__bf-1_a1-2.5_idle-0.02_lh-10,258108.00000,2.80311,0
ga250a-5__bf-1_a1-2.5_idle-0.02_lh-1,258399.00000,0.10751,0
ga250a-5__bf-1_a1-2.5_idle-0.02_lh-10,258399.00000,0.11964,0
