Input file name,Solution cost,Time spent,Optimal
ga500b-1__bf-1_a1-2.5_idle-0.02_lh-1,538060.00000,1.07441,0
ga500b-1__bf-1_a1-2.5_idle-0.02_lh-10,538060.00000,13.82413,0
ga500b-2__bf-1_a1-2.5_idle-0.02_lh-1,538305.00000,1.99271,0
ga500b-2__bf-1_a1-2.5_idle-0.02_lh-10,538177.00000,16.80691,0
ga500b-3__bf-1_a1-2.5_idle-0.02_lh-1,539124.00000,0.52365,0
ga500b-3__bf-1_a1-2.5_idle-0.02_lh-10,538887.00000,27.43609,0
ga500b-4__bf-1_a1-2.5_idle-0.02_lh-1,538287.00000,5.54134,0
ga500b-4__bf-1_a1-2.5_idle-0.02_lh-10,538287.00000,10.91120,0
ga500b-5__bf-1_a1-2.5_idle-0.02_lh-1,538036.00000,0.75488,0
ga500b-5__bf-1_a1-2.5_idle-0.02_lh-10,538036.00000,2.56092,0
