Input file name,Solution cost,Time spent,Optimal
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1,258023.00000,0.35894,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-10,257989.00000,1.82516,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-50,258007.00000,3.36819,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-250,258023.00000,4.67324,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1000,258023.00000,4.26962,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-10000,258023.00000,5.03939,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1,257596.00000,0.10641,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-10,257596.00000,0.13344,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-50,257596.00000,1.01312,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-250,257570.00000,4.36542,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1000,257570.00000,5.33322,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-10000,257570.00000,5.99281,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-1,258175.00000,1.17865,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-10,258175.00000,2.07837,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-50,258136.00000,4.42043,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-250,258125.00000,11.70136,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-1000,258162.00000,12.69146,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-10000,258163.00000,10.89978,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1,258108.00000,1.02383,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-10,258117.00000,2.09184,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-50,258090.00000,3.90761,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-250,258074.00000,13.12649,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1000,258123.00000,4.14432,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-10000,258123.00000,3.91595,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-1,258399.00000,0.10268,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-10,258399.00000,0.07788,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-50,258399.00000,0.07488,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-250,258377.00000,2.61590,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-1000,258333.00000,5.59836,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-10000,258333.00000,5.78061,0
