Input file name,Solution cost,Time spent,Optimal
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-1,538060.00000,0.89269,0
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-10,538060.00000,5.37072,0
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-50,538067.00000,8.52115,0
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-250,538067.00000,12.81934,0
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-500,538069.00000,8.16010,0
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-1000,538069.00000,8.26534,0
ga500b-1__bf-0_a1-2.5_idle-0.02_lh-10000,538069.00000,9.07608,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-1,538307.00000,5.62968,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-10,538402.00000,6.89314,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-50,538239.00000,34.50903,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-250,538608.00000,20.76084,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-500,538716.00000,34.54580,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-1000,538679.00000,48.91201,0
ga500b-2__bf-0_a1-2.5_idle-0.02_lh-10000,538679.00000,55.22133,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-1,539140.00000,0.64362,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-10,539140.00000,0.77437,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-50,539140.00000,0.78131,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-250,538766.00000,23.08551,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-500,538766.00000,27.29429,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-1000,538766.00000,27.96971,0
ga500b-3__bf-0_a1-2.5_idle-0.02_lh-10000,538766.00000,40.09767,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-1,538287.00000,4.74144,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-10,538287.00000,5.48311,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-50,538287.00000,4.75455,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-250,538205.00000,21.39375,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-500,538287.00000,22.51933,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-1000,538287.00000,45.22197,0
ga500b-4__bf-0_a1-2.5_idle-0.02_lh-10000,538186.00000,63.53071,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-1,538036.00000,0.92804,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-10,538036.00000,0.77870,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-50,538036.00000,0.81766,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-250,538036.00000,7.75800,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-500,538036.00000,7.26652,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-1000,537971.00000,15.94021,0
ga500b-5__bf-0_a1-2.5_idle-0.02_lh-10000,537971.00000,30.83571,0
