Input file name,Solution cost,Time spent,Optimal
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.05,257989.00000,0.13164,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.1,257989.00000,0.17917,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.5,258023.00000,0.23295,0
ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1,258023.00000,0.36992,0
ga250a-1__bf-1_a1-2.5_idle-0.02_lh-10,258010.00000,0.21972,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.05,257596.00000,0.00703,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.1,257596.00000,0.01779,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.5,257596.00000,0.13288,0
ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1,257570.00000,0.31906,0
ga250a-2__bf-1_a1-2.5_idle-0.02_lh-10,257583.00000,0.14777,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.05,258175.00000,0.14670,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.1,258136.00000,0.35319,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.5,258163.00000,0.46440,0
ga250a-3__bf-0_a1-2.5_idle-0.02_lh-1,258125.00000,0.97319,0
ga250a-3__bf-1_a1-2.5_idle-0.02_lh-10,258141.00000,0.22234,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.05,258117.00000,0.14207,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.1,258117.00000,0.14290,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.5,258123.00000,0.31231,0
ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1,258074.00000,1.07900,0
ga250a-4__bf-1_a1-2.5_idle-0.02_lh-10,258108.00000,0.20247,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-0.05,258399.00000,0.00536,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-0.1,258399.00000,0.00558,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-0.5,258399.00000,0.00546,0
ga250a-5__bf-0_a1-2.5_idle-0.02_lh-1,258377.00000,0.21177,0
ga250a-5__bf-1_a1-2.5_idle-0.02_lh-10,258399.00000,0.00904,0
ga250b-1__bf-0_a1-2.5_idle-0.02_lh-0.05,277216.00000,0.04799,0
ga250b-1__bf-0_a1-2.5_idle-0.02_lh-0.1,277216.00000,0.04708,0
ga250b-1__bf-0_a1-2.5_idle-0.02_lh-0.5,277216.00000,0.04747,0
ga250b-1__bf-0_a1-2.5_idle-0.02_lh-1,277216.00000,0.05116,0
ga250b-1__bf-1_a1-2.5_idle-0.02_lh-10,276453.00000,0.26480,0
ga250b-2__bf-0_a1-2.5_idle-0.02_lh-0.05,275216.00000,0.04849,0
ga250b-2__bf-0_a1-2.5_idle-0.02_lh-0.1,275216.00000,0.05867,0
ga250b-2__bf-0_a1-2.5_idle-0.02_lh-0.5,275216.00000,0.10412,0
ga250b-2__bf-0_a1-2.5_idle-0.02_lh-1,275216.00000,0.10313,0
ga250b-2__bf-1_a1-2.5_idle-0.02_lh-10,275216.00000,0.15737,0
ga250b-3__bf-0_a1-2.5_idle-0.02_lh-0.05,276140.00000,0.00598,0
ga250b-3__bf-0_a1-2.5_idle-0.02_lh-0.1,276140.00000,0.00588,0
ga250b-3__bf-0_a1-2.5_idle-0.02_lh-0.5,276140.00000,0.06586,0
ga250b-3__bf-0_a1-2.5_idle-0.02_lh-1,276140.00000,0.06555,0
ga250b-3__bf-1_a1-2.5_idle-0.02_lh-10,276093.00000,0.12854,0
ga250b-4__bf-0_a1-2.5_idle-0.02_lh-0.05,277574.00000,0.00674,0
ga250b-4__bf-0_a1-2.5_idle-0.02_lh-0.1,277574.00000,0.00680,0
ga250b-4__bf-0_a1-2.5_idle-0.02_lh-0.5,277180.00000,0.23494,0
ga250b-4__bf-0_a1-2.5_idle-0.02_lh-1,276921.00000,0.55788,0
ga250b-4__bf-1_a1-2.5_idle-0.02_lh-10,276413.00000,0.29003,0
ga250b-5__bf-0_a1-2.5_idle-0.02_lh-0.05,277508.00000,0.00771,0
ga250b-5__bf-0_a1-2.5_idle-0.02_lh-0.1,277508.00000,0.00794,0
ga250b-5__bf-0_a1-2.5_idle-0.02_lh-0.5,277508.00000,0.00793,0
ga250b-5__bf-0_a1-2.5_idle-0.02_lh-1,276689.00000,0.41385,0
ga250b-5__bf-1_a1-2.5_idle-0.02_lh-10,276896.00000,0.10942,0
ga250c-1__bf-0_a1-2.5_idle-0.02_lh-0.05,335223.00000,0.00002,0
ga250c-1__bf-0_a1-2.5_idle-0.02_lh-0.1,335223.00000,0.00002,0
ga250c-1__bf-0_a1-2.5_idle-0.02_lh-0.5,335223.00000,0.00002,0
ga250c-1__bf-0_a1-2.5_idle-0.02_lh-1,335223.00000,0.00001,0
ga250c-1__bf-1_a1-2.5_idle-0.02_lh-10,335223.00000,0.00012,0
ga250c-2__bf-0_a1-2.5_idle-0.02_lh-0.05,331344.00000,0.00002,0
ga250c-2__bf-0_a1-2.5_idle-0.02_lh-0.1,331344.00000,0.00002,0
ga250c-2__bf-0_a1-2.5_idle-0.02_lh-0.5,331344.00000,0.00002,0
ga250c-2__bf-0_a1-2.5_idle-0.02_lh-1,331344.00000,0.00001,0
ga250c-2__bf-1_a1-2.5_idle-0.02_lh-10,331344.00000,0.00012,0
ga250c-3__bf-0_a1-2.5_idle-0.02_lh-0.05,333662.00000,0.00002,0
ga250c-3__bf-0_a1-2.5_idle-0.02_lh-0.1,333662.00000,0.00002,0
ga250c-3__bf-0_a1-2.5_idle-0.02_lh-0.5,333662.00000,0.00004,0
ga250c-3__bf-0_a1-2.5_idle-0.02_lh-1,333662.00000,0.00002,0
ga250c-3__bf-1_a1-2.5_idle-0.02_lh-10,333662.00000,0.00012,0
