time spent so far, current solution cost, current qty moves
-3.14104e+09,764218,0
9e-06,764217,1
0.044507,764177,2
0.984202,764176,3
2.42255,764166,13
3.78446,764158,14
4.53903,764153,15
4.63188,764139,16
5.49593,764126,17
5.69391,764110,18
7.00964,764102,19
7.09578,764096,20
8.39318,764085,21
8.49494,764080,22
8.58984,764078,23
12.8007,764058,37
12.9088,764049,38
14.009,764044,42
14.4742,764029,43
14.5511,764016,44
19.0643,764014,76
19.2247,764011,77
19.2496,764010,78
19.3993,763992,79
20.5132,763974,81
20.5663,763971,82
21.8832,763958,83
23.5377,763953,88
24.9063,763942,92
31.0327,763942,874
