time spent so far, current solution cost, current qty moves
-3.1827e+09,511570,0
8e-06,511549,1
0.053781,511530,2
0.185614,511499,4
0.198779,511490,5
0.239034,511488,6
0.483422,511474,7
0.536046,511464,8
0.555512,511459,9
0.565061,511457,10
3.10622,511444,34
3.55219,511443,35
3.59502,511419,36
3.92046,511411,37
3.97469,511404,38
4.60347,511391,47
4.62017,511389,48
4.85345,511354,57
4.87601,511345,58
5.21769,511340,61
5.25592,511326,62
5.49199,511267,63
5.50005,511254,64
5.89831,511247,65
5.91272,511241,66
6.3665,511238,67
6.52979,511233,71
6.59287,511226,72
6.72361,511215,73
6.76812,511205,74
6.78757,511199,75
7.43398,511194,80
7.44837,511192,81
7.49335,511178,82
7.52065,511168,83
9.53341,511168,621
