time spent so far, current solution cost, current qty moves
-2.8996e+09,511271,0
7e-06,511224,1
0.033688,511203,2
0.045989,511202,3
0.121066,511194,6
0.430894,511185,7
0.67801,511176,8
0.723998,511172,9
0.760336,511134,10
1.26923,511112,12
1.39257,511084,13
1.90528,511071,19
1.93315,511069,20
2.26377,511051,21
2.28132,511030,22
2.50114,511025,23
2.54476,511000,24
3.51599,510990,41
3.79173,510989,42
3.79974,510985,43
4.59378,510968,48
5.25029,510967,56
5.29125,510954,57
5.54446,510936,58
5.5674,510931,59
27.4206,510931,1037
