time spent so far, current solution cost, current qty moves
-3.2087e+09,511570,0
7e-06,511549,1
0.052866,511530,2
0.181279,511499,4
0.194036,511490,5
0.233322,511488,6
0.474629,511474,7
0.527729,511464,8
0.546811,511459,9
0.556074,511457,10
3.07706,511444,34
3.52172,511443,35
3.56379,511419,36
3.88892,511411,37
3.94234,511404,38
4.57156,511391,47
4.58793,511389,48
4.8194,511354,57
4.84117,511345,58
5.17748,511340,61
5.2148,511326,62
5.44806,511267,63
5.45582,511254,64
5.84841,511247,65
5.86162,511241,66
6.31288,511238,67
6.47538,511233,71
6.53592,511226,72
6.66556,511215,73
6.70804,511205,74
6.72716,511199,75
7.36562,511194,80
7.37941,511192,81
7.42411,511178,82
7.451,511168,83
11.3627,511159,156
33.4895,511159,1068
