time spent so far, current solution cost, current qty moves
-3.13992e+09,797916,0
8e-06,797836,1
0.087947,797670,2
1.42799,797660,3
2.67241,797595,4
2.87876,797503,6
8.78946,797459,21
10.3195,797415,27
10.4736,797410,28
10.5328,797384,29
13.5461,797329,33
19.6793,797278,66
22.124,797254,68
22.1943,797194,69
23.6723,797164,70
23.8154,797143,71
25.5757,797124,72
29.1352,796987,83
29.2704,796954,84
29.3655,796904,85
29.666,796853,86
29.8091,796828,87
30.9935,796761,88
54.3897,796735,198
54.5449,796671,199
56.2792,796658,200
138.498,796658,1270
