Input file name,Solution cost,Time spent,Optimal
ga250a-1__a1-2.5_l-0.01-0.05_idle-0.02_lh10,258010.00000,0.15698,0
ga250a-1__a1-2.5_l-0.04-0.08_idle-0.02_lh10,258023.00000,0.09387,0
ga250a-1__a1-2.5_l-0.01-0.05_idle-0.02_lh50,257998.00000,0.48505,0
ga250a-1__a1-2.5_l-0.04-0.08_idle-0.02_lh50,258010.00000,0.37176,0
ga250a-1__a1-2.5_l-0.01-0.05_idle-0.02_lh100,257993.00000,1.06595,0
ga250a-1__a1-2.5_l-0.04-0.08_idle-0.02_lh100,257975.00000,0.86011,0
ga250a-1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,257971.00000,4.56413,0
ga250a-1__a1-2.5_l-0.04-0.08_idle-0.02_lh500,257971.00000,3.50443,0

ga250a-2__a1-2.5_l-0.01-0.05_idle-0.02_lh10,257583.00000,0.14157,0
ga250a-2__a1-2.5_l-0.04-0.08_idle-0.02_lh10,257583.00000,0.07920,0
ga250a-2__a1-2.5_l-0.01-0.05_idle-0.02_lh50,257583.00000,0.36100,0
ga250a-2__a1-2.5_l-0.04-0.08_idle-0.02_lh50,257583.00000,0.07863,0
ga250a-2__a1-2.5_l-0.01-0.05_idle-0.02_lh100,257583.00000,0.37814,0
ga250a-2__a1-2.5_l-0.04-0.08_idle-0.02_lh100,257583.00000,0.08338,0
ga250a-2__a1-2.5_l-0.01-0.05_idle-0.02_lh500,257583.00000,0.40802,0
ga250a-2__a1-2.5_l-0.04-0.08_idle-0.02_lh500,257583.00000,0.07592,0

ga250a-3__a1-2.5_l-0.01-0.05_idle-0.02_lh10,258136.00000,0.28110,0
ga250a-3__a1-2.5_l-0.04-0.08_idle-0.02_lh10,258136.00000,0.24861,0
ga250a-3__a1-2.5_l-0.01-0.05_idle-0.02_lh50,258136.00000,0.50087,0
ga250a-3__a1-2.5_l-0.04-0.08_idle-0.02_lh50,258136.00000,0.47500,0
ga250a-3__a1-2.5_l-0.01-0.05_idle-0.02_lh100,258136.00000,0.82949,0
ga250a-3__a1-2.5_l-0.04-0.08_idle-0.02_lh100,258070.00000,1.51532,0
ga250a-3__a1-2.5_l-0.01-0.05_idle-0.02_lh500,258060.00000,7.64778,0
ga250a-3__a1-2.5_l-0.04-0.08_idle-0.02_lh500,257999.00000,5.67966,0

ga250a-4__a1-2.5_l-0.01-0.05_idle-0.02_lh10,258108.00000,0.18957,0
ga250a-4__a1-2.5_l-0.04-0.08_idle-0.02_lh10,258108.00000,0.14509,0
ga250a-4__a1-2.5_l-0.01-0.05_idle-0.02_lh50,257987.00000,1.03692,0
ga250a-4__a1-2.5_l-0.04-0.08_idle-0.02_lh50,257987.00000,0.64321,0
ga250a-4__a1-2.5_l-0.01-0.05_idle-0.02_lh100,257987.00000,1.46560,0
ga250a-4__a1-2.5_l-0.04-0.08_idle-0.02_lh100,257987.00000,1.01240,0
ga250a-4__a1-2.5_l-0.01-0.05_idle-0.02_lh500,257987.00000,4.68395,0
ga250a-4__a1-2.5_l-0.04-0.08_idle-0.02_lh500,257987.00000,3.27313,0

ga250a-5__a1-2.5_l-0.01-0.05_idle-0.02_lh10,258399.00000,0.00845,0
ga250a-5__a1-2.5_l-0.04-0.08_idle-0.02_lh10,258399.00000,0.01030,0
ga250a-5__a1-2.5_l-0.01-0.05_idle-0.02_lh50,258399.00000,0.00893,0
ga250a-5__a1-2.5_l-0.04-0.08_idle-0.02_lh50,258399.00000,0.00910,0
ga250a-5__a1-2.5_l-0.01-0.05_idle-0.02_lh100,258399.00000,0.00930,0
ga250a-5__a1-2.5_l-0.04-0.08_idle-0.02_lh100,258399.00000,0.00958,0
ga250a-5__a1-2.5_l-0.01-0.05_idle-0.02_lh500,258399.00000,0.00992,0
ga250a-5__a1-2.5_l-0.04-0.08_idle-0.02_lh500,258399.00000,0.00841,0

ga250b-1__a1-2.5_l-0.01-0.05_idle-0.02_lh10,276755.00000,0.18486,0
ga250b-1__a1-2.5_l-0.04-0.08_idle-0.02_lh10,276407.00000,0.29955,0
ga250b-1__a1-2.5_l-0.01-0.05_idle-0.02_lh50,276360.00000,0.64366,0
ga250b-1__a1-2.5_l-0.04-0.08_idle-0.02_lh50,276370.00000,0.56814,0
ga250b-1__a1-2.5_l-0.01-0.05_idle-0.02_lh100,276360.00000,0.87979,0
ga250b-1__a1-2.5_l-0.04-0.08_idle-0.02_lh100,276370.00000,0.87230,0
ga250b-1__a1-2.5_l-0.01-0.05_idle-0.02_lh500,276360.00000,2.45469,0
ga250b-1__a1-2.5_l-0.04-0.08_idle-0.02_lh500,276296.00000,3.57455,0

ga250b-2__a1-2.5_l-0.01-0.05_idle-0.02_lh10,275216.00000,0.09413,0
ga250b-2__a1-2.5_l-0.04-0.08_idle-0.02_lh10,275216.00000,0.07012,0
ga250b-2__a1-2.5_l-0.01-0.05_idle-0.02_lh50,275216.00000,0.09395,0
ga250b-2__a1-2.5_l-0.04-0.08_idle-0.02_lh50,275216.00000,0.06896,0
ga250b-2__a1-2.5_l-0.01-0.05_idle-0.02_lh100,275216.00000,0.09449,0
ga250b-2__a1-2.5_l-0.04-0.08_idle-0.02_lh100,275216.00000,0.07325,0
