time spent so far, current solution cost, current qty moves
1e-06,769781,0
80.1201,764131,137
159.861,764119,138
160.036,764099,141
169.795,764096,142
190.877,764082,143
191.054,764057,147
191.186,764055,148
304.458,764049,149
304.688,763948,155
304.868,763923,158
305.016,763897,159
305.148,763892,160
423.298,763890,161
423.447,763865,162
539.856,763859,163
540.017,763813,166
589.554,763809,167
833.633,763806,168
833.791,763795,170
833.948,763776,172
834.092,763768,173
1033.84,763766,174
1033.84,763766,174
