time spent so far, current solution cost, current qty moves
0,770277,0
86.7296,764193,130
94.3858,764162,131
94.5179,764140,132
177.739,764132,133
177.89,764129,134
178.036,764127,135
264.938,764107,136
265.091,764090,138
265.239,764089,139
364.795,764088,140
364.937,764077,141
365.105,764064,143
436.042,764048,144
436.22,764002,147
436.408,763978,151
436.551,763966,153
436.689,763964,154
479.656,763962,155
628.807,763946,156
628.974,763926,159
629.112,763913,161
803.963,763881,162
804.105,763878,163
1213.62,763878,163
