time spent so far, current solution cost, current qty moves
0,532632,0
17.0222,511711,159
17.0836,511690,160
17.2151,511685,161
54.7158,511682,162
54.7793,511669,164
55.656,511667,165
106.121,511654,166
106.203,511614,170
106.259,511607,171
135.624,511603,172
135.693,511582,175
162.212,511570,176
162.273,511560,177
175.874,511556,178
175.935,511546,179
183.533,511539,180
183.593,511529,181
193.814,511528,182
193.883,511512,184
193.944,511496,185
194.008,511465,186
218.622,511460,187
218.679,511439,188
313.677,511439,188
