time spent so far, current solution cost, current qty moves
0,543871,0
16.0986,511835,160
16.1724,511755,163
16.2557,511689,168
33.1107,511617,172
33.1725,511604,173
94.4492,511595,174
94.5098,511594,175
97.5432,511590,176
97.6099,511573,178
136.141,511565,179
136.201,511541,180
136.272,511512,183
189.643,511504,184
189.705,511490,185
189.766,511489,186
189.826,511475,187
192.418,511432,188
192.485,511411,190
206.259,511379,191
238.485,511352,192
240.401,511344,193
240.463,511342,194
334.221,511342,194
