time spent so far, current solution cost, current qty moves
0.742536,769336,0
122.625,764253,153
123.302,764250,155
303.191,764247,156
303.85,764232,159
304.518,764226,161
555.762,764221,162
556.421,764209,165
614.511,764185,166
615.18,764176,167
625.422,764175,168
626.114,764162,169
731.532,764152,170
732.195,764136,174
732.879,764117,175
743.169,764111,176
743.845,764110,177
761.132,764086,178
761.851,764077,179
772.224,764073,180
772.914,764064,181
773.592,764046,183
774.29,764031,186
790.77,764030,187
791.488,764029,188
823.391,764021,189
824.098,764005,193
939.138,763994,194
939.138,763994,194
