time spent so far, current solution cost, current qty moves
0,768966,0
24.1542,764219,107
24.3336,764197,110
40.6333,764182,111
40.7935,764155,113
72.4254,764148,114
203.618,764144,115
203.764,764126,116
203.915,764099,117
347.98,764095,118
530.722,764093,119
530.913,764063,123
531.062,764061,124
577.2,764055,125
577.334,764039,126
577.513,764032,129
577.688,764007,132
577.853,763986,136
577.987,763984,137
668.216,763980,138
694.034,763978,139
694.211,763958,142
694.397,763939,145
694.573,763921,148
694.768,763891,152
694.938,763868,154
1149.23,763868,154
