time spent so far, current solution cost, current qty moves
0,770042,0
67.6475,764274,155
67.7968,764226,156
81.8123,764222,157
81.9722,764176,159
87.1944,764175,160
87.3818,764157,163
87.5621,764120,167
87.7039,764110,168
167.083,764103,169
167.227,764101,170
167.394,764059,173
196.586,764049,174
196.729,764046,175
285.558,764036,176
403.414,764035,177
403.557,764033,178
403.703,764016,179
430.813,764014,180
458.444,764013,181
478.385,763997,182
533.597,763977,183
533.735,763974,184
952.694,763974,184
