time spent so far, current solution cost, current qty moves
0,1.14162e+06,0
32.9555,764338,243
33.1408,764258,248
33.3304,764214,253
33.4868,764183,255
33.6355,764144,257
33.779,764139,258
141.18,764120,259
172.934,764117,260
173.092,764093,262
173.26,764038,266
173.483,764027,267
173.626,764018,268
209.991,764007,269
423.987,764006,270
424.125,764005,271
424.271,763992,272
508.397,763979,273
610.46,763973,274
610.611,763948,276
610.762,763943,278
856.98,763932,279
857.146,763931,280
977.613,763922,281
977.613,763922,281
