Input file name,Solution cost,Time spent
B1.1,23932,0.090682
B1.10,21864,0.430839
B1.2,22119,0.094602
B1.3,23549,0.167465
B1.4,20747,0.064467
B1.5,24200,0.051593
B1.6,21014,0.08307
B1.7,22103,0.121019
B1.8,20340,0.138701
B1.9,25132,0.214526
C1.1,17051,0.173863
C1.10,18242,0.069693
C1.2,15842,0.225232
C1.3,17668,0.060598
C1.4,16836,0.164898
C1.5,17610,0.116377
C1.6,18108,0.24615
C1.7,17436,0.075871
C1.8,17762,0.21141
C1.9,17788,0.09133
D1.1,14205,0.220159
D1.10,15091,0.033156
D1.2,14723,0.066735
D1.3,14580,0.040729
D1.4,13243,0.156054
D1.5,12513,0.048967
D1.6,14179,0.030918
D1.7,13844,0.153578
D1.8,13424,0.144124
D1.9,14160,0.034112
D10.1,40996,0.099115
D10.10,40809,0.076423
D10.2,40995,0.033114
D10.3,37698,0.034274
D10.4,40783,0.161055
D10.5,40635,0.088054
D10.6,40908,0.060463
D10.7,41372,0.037073
D10.8,41595,0.076482
D10.9,43054,0.037615
D2.1,18312,0.110184
D2.10,19141,0.051862
D2.2,19439,0.029788
D2.3,19860,0.025781
D2.4,19041,0.029471
D2.5,19789,0.055948
D2.6,20224,0.047123
D2.7,19898,0.079916
D2.8,19852,0.025457
D2.9,18494,0.075475
D3.1,24276,0.072352
D3.10,23144,0.042222
D3.2,24424,0.047594
D3.3,24446,0.044047
D3.4,23129,0.039061
D3.5,23571,0.181157
D3.6,23511,0.092296
D3.7,23019,0.107991
D3.8,24226,0.037183
D3.9,24775,0.118522
D4.1,27431,0.041013
D4.10,25261,0.127401
D4.2,26850,0.110215
D4.3,27313,0.039774
D4.4,28419,0.163041
D4.5,26014,0.021389
D4.6,27446,0.086522
D4.7,25724,0.019088
D4.8,27700,0.284517
D4.9,26660,0.164448
D5.1,30829,0.012343
D5.10,29233,0.049398
D5.2,30428,0.132445
D5.3,30101,0.058076
D5.4,29879,0.061755
D5.5,30736,0.03072
D5.6,28497,0.042883
D5.7,30674,0.064112
D5.8,29708,0.032435
D5.9,30220,0.049392
D6.1,32187,0.039827
D6.10,34466,0.050785
D6.2,33757,0.058682
D6.3,32491,0.05724
D6.4,33281,0.038269
D6.5,32999,0.098296
D6.6,34066,0.072504
D6.7,32506,0.027721
D6.8,33481,0.044023
D6.9,33152,0.04831
D7.1,34549,0.040265
D7.10,34227,0.069341
D7.2,36147,0.068428
D7.3,35382,0.06105
D7.4,36580,0.049221
D7.5,33040,0.044689
D7.6,36834,0.058447
D7.7,35308,0.036727
D7.8,34193,0.131996
D7.9,35821,0.016498
D8.1,36941,0.070037
D8.10,38472,0.045649
D8.2,37050,0.018857
D8.3,38211,0.011897
D8.4,37453,0.143386
D8.5,38294,0.046092
D8.6,37606,0.059212
D8.7,37861,0.030904
D8.8,36208,0.062528
D8.9,39887,0.046461
D9.1,40917,0.041668
D9.10,39310,0.040949
D9.2,38258,0.044126
D9.3,39704,0.096217
D9.4,39939,0.035619
D9.5,39602,0.02814
D9.6,39457,0.044
D9.7,38540,0.064603
D9.8,40725,0.031826
D9.9,40786,0.088277
E1.1,15311,0.136905
E1.10,14973,0.025162
E1.2,15080,0.103515
E1.3,15395,0.029205
E1.4,14198,0.059159
E1.5,14787,0.109271
E1.6,14426,0.118846
E1.7,14242,0.100819
E1.8,14342,0.087048
E1.9,14537,0.084544
E10.1,47462,0.192003
E10.10,48146,0.085326
E10.2,48817,0.138009
E10.3,45658,0.06151
E10.4,45852,0.097417
E10.5,47652,0.069633
E10.6,46474,0.139449
E10.7,46884,0.087332
E10.8,46678,0.11706
E10.9,47515,0.092055
E2.1,21435,0.082054
E2.10,21667,0.034389
E2.2,21314,0.067642
E2.3,21088,0.104325
E2.4,21851,0.10109
E2.5,21163,0.066715
E2.6,21761,0.051462
E2.7,20975,0.030714
E2.8,22046,0.063849
E2.9,21907,0.059584
E3.1,25486,0.054414
E3.10,25659,0.111309
E3.2,26529,0.05256
E3.3,25739,0.021662
E3.4,27047,0.074791
E3.5,27149,0.058534
E3.6,25673,0.023159
E3.7,26055,0.083675
E3.8,25490,0.036876
E3.9,25798,0.078318
E4.1,30859,0.083241
E4.10,28910,0.103428
E4.2,28047,0.022085
E4.3,28650,0.092598
E4.4,29922,0.051091
E4.5,30959,0.053779
E4.6,29941,0.121377
E4.7,30548,0.046154
E4.8,30218,0.048127
E4.9,30045,0.058503
E5.1,32377,0.040047
E5.10,34446,0.04
E5.2,32894,0.078915
E5.3,34871,0.043301
E5.4,33748,0.015607
E5.5,33655,0.083245
E5.6,34832,0.048857
E5.7,32021,0.074047
E5.8,33419,0.130131
E5.9,34421,0.059155
E6.1,36566,0.072359
E6.10,37936,0.115147
E6.2,36441,0.066065
E6.3,36554,0.086536
E6.4,37153,0.067378
E6.5,35607,0.079399
E6.6,36404,0.044703
E6.7,38422,0.038529
E6.8,35770,0.164738
E6.9,36235,0.123512
E7.1,39901,0.112495
E7.10,40870,0.193894
E7.2,39737,0.058984
E7.3,38669,0.027886
E7.4,40317,0.086223
E7.5,41083,0.116573
E7.6,39703,0.272615
E7.7,38845,0.103255
E7.8,38636,0.086133
E7.9,39890,0.123139
E8.1,42468,0.033926
E8.10,42107,0.061907
E8.2,43396,0.051592
E8.3,41027,0.075107
E8.4,41863,0.075025
E8.5,42547,0.047375
E8.6,42057,0.091845
E8.7,43086,0.062221
E8.8,42568,0.147951
E8.9,44605,0.057854
E9.1,45446,0.125611
E9.10,44162,0.179925
E9.2,46376,0.031159
E9.3,44892,0.122415
E9.4,44477,0.089383
E9.5,45360,0.133972
E9.6,42443,0.123887
E9.7,45153,0.060938
E9.8,45684,0.322553
E9.9,45661,0.072747
cap101.txt,797509,0.044192
cap102.txt,854704,0.005803
cap103.txt,894008,0.005465
cap104.txt,928942,0.004638
cap131.txt,794300,0.010768
cap132.txt,851495,0.01314
cap133.txt,893077,0.010939
cap134.txt,928942,0.010294
cap71.txt,932616,0.004264
cap72.txt,977800,0.053359
cap73.txt,1.01248e+06,0.005384
cap74.txt,1.03497e+06,0.005712
capa.txt,1.71805e+07,0.364766
capb.txt,1.30707e+07,0.382646
capc.txt,1.16358e+07,0.532182
ga250a-1,258023,0.894775
ga250a-2,257596,0.701735
ga250a-3,258141,0.759164
ga250a-4,258117,0.667841
ga250a-5,258399,0.772319
ga250b-1,277208,0.472875
ga250b-2,275335,0.415702
ga250b-3,276140,0.519681
ga250b-4,277138,0.551105
ga250b-5,276933,0.41879
ga250c-1,335223,0.381323
ga250c-2,331344,0.393378
ga250c-3,333662,0.32669
ga250c-4,332541,0.476989
ga250c-5,335511,0.527494
ga500a-1,511518,2.27974
ga500a-2,511510,2.20259
ga500a-3,511206,1.47626
ga500a-4,511158,1.57256
ga500a-5,511406,2.46343
ga500b-1,538060,1.41696
ga500b-2,538177,1.73554
ga500b-3,539125,1.48218
ga500b-4,538287,1.8704
ga500b-5,538074,1.87635
ga500c-1,622936,0.999
ga500c-2,622940,0.868826
ga500c-3,622593,1.11099
ga500c-4,622117,1.0217
ga500c-5,622365,1.23385
ga750a-1,763806,5.41106
ga750a-2,763836,8.56068
ga750a-3,763918,4.30351
ga750a-4,763980,5.46176
ga750a-5,764183,5.53926
ga750b-1,797200,2.63101
ga750b-2,796362,5.17234
ga750b-3,796682,4.87542
ga750b-4,797798,3.21877
ga750b-5,796542,3.45374
ga750c-1,903689,2.30627
ga750c-2,900602,1.9157
ga750c-3,900366,2.25746
ga750c-4,900584,2.66936
ga750c-5,901076,2.84174
gs250a-1,258110,0.389471
gs250a-2,257625,0.620467
gs250a-3,257829,0.606081
gs250a-4,258099,0.324467
gs250a-5,258000,0.690235
gs250b-1,276850,0.382198
gs250b-2,276175,0.577247
gs250b-3,276327,0.396525
gs250b-4,276730,0.612233
gs250b-5,276370,0.653167
gs250c-1,332935,0.272094
gs250c-2,334790,0.348085
gs250c-3,333128,0.36906
gs250c-4,333158,0.453866
gs250c-5,335226,0.301319
gs500a-1,511417,2.2176
gs500a-2,511389,3.54554
gs500a-3,511260,1.72288
gs500a-4,511552,2.78274
gs500a-5,511453,1.77551
gs500b-1,538490,1.58174
gs500b-2,538167,1.62452
gs500b-3,538638,1.68039
gs500b-4,538651,1.70916
gs500b-5,538698,1.90537
gs500c-1,620639,1.32107
gs500c-2,620434,1.54894
gs500c-3,621204,1.59332
gs500c-4,621166,3.70886
gs500c-5,626125,1.31271
gs750a-1,763893,7.16897
gs750a-2,763650,5.26929
gs750a-3,763918,4.41021
gs750a-4,764129,4.0829
gs750a-5,763874,6.05919
gs750b-1,798136,3.02752
gs750b-2,796679,3.57014
gs750b-3,797304,5.27248
gs750b-4,797484,2.94319
gs750b-5,796800,4.39913
gs750c-1,901642,3.43734
gs750c-2,898991,2.05719
gs750c-3,902386,2.55176
gs750c-4,902624,3.78428
gs750c-5,900991,3.71828
