Input file name,Solution cost,Time spent
cap71.txt,932615,0.013907
cap72.txt,977799,0.009933
cap73.txt,1.01064e+06,0.010846
cap74.txt,1.03498e+06,0.008464
cap101.txt,797509,0.04107
cap102.txt,854704,0.041484
cap103.txt,895027,0.01974
cap104.txt,928942,0.013294
cap131.txt,794300,0.218696
cap132.txt,851495,0.084718
cap133.txt,894096,0.10032
cap134.txt,928942,0.038798
capa.txt,1.71564e+07,4.21127
capb.txt,1.29791e+07,6.81364
capc.txt,1.15353e+07,13.9784
B1.1,23468,0.130361
B1.2,22119,0.173202
B1.3,23549,0.124151
B1.4,20747,0.117906
B1.5,23976,0.111625
B1.6,21014,0.123547
B1.7,22122,0.114379
B1.8,20338,0.192563
B1.9,25132,0.075736
B1.10,21864,0.189163
C1.1,16781,0.180236
C1.2,15842,0.155603
C1.3,17668,0.197781
C1.4,16799,0.177882
C1.5,17507,0.131392
C1.6,18106,0.14319
C1.7,17620,0.159419
C1.8,17677,0.232795
C1.9,17576,0.161699
C1.10,17994,0.109781
D1.1,14190,0.040442
D1.2,14293,0.05511
D1.3,14473,0.046274
D1.4,13407,0.067125
D1.5,12166,0.035426
D1.6,13893,0.055001
D1.7,14121,0.069929
D1.8,13494,0.044374
D1.9,14055,0.086433
D1.10,14654,0.073126
D2.1,18312,0.094801
D2.2,19208,0.119886
D2.3,19590,0.072935
D2.4,19055,0.064234
D2.5,19917,0.065712
D2.6,20224,0.067881
D2.7,19381,0.042541
D2.8,19599,0.063169
D2.9,18245,0.039209
D2.10,18910,0.031634
D3.1,23729,0.058771
D3.2,23915,0.039574
D3.3,23416,0.027959
D3.4,22636,0.04561
D3.5,23866,0.090403
D3.6,22977,0.042088
D3.7,23019,0.048769
D3.8,23385,0.103765
D3.9,24413,0.029954
D3.10,22341,0.064378
D4.1,27871,0.032892
D4.2,27265,0.030697
D4.3,28284,0.035915
D4.4,28150,0.065151
D4.5,26014,0.030134
D4.6,26590,0.043923
D4.7,25724,0.04091
D4.8,27658,0.038434
D4.9,26151,0.032253
D4.10,25261,0.051503
D5.1,30829,0.068655
D5.2,30428,0.081092
D5.3,30082,0.05998
D5.4,29505,0.02495
D5.5,30736,0.041348
D5.6,28468,0.027225
D5.7,32080,0.062951
D5.8,30218,0.038031
D5.9,30168,0.057787
D5.10,29233,0.053987
D6.1,31823,0.049395
D6.2,34992,0.036149
D6.3,32119,0.082194
D6.4,33281,0.033014
D6.5,33828,0.043292
D6.6,33084,0.084821
D6.7,32222,0.029481
D6.8,33481,0.032441
D6.9,33152,0.024958
D6.10,34466,0.0578
D7.1,35002,0.032961
D7.2,35534,0.041572
D7.3,34937,0.026365
D7.4,36580,0.026296
D7.5,32942,0.026645
D7.6,36235,0.021964
D7.7,35007,0.02958
D7.8,33132,0.020309
D7.9,36193,0.017671
D7.10,34227,0.028223
D8.1,36710,0.056522
D8.2,37050,0.037242
D8.3,38004,0.036033
D8.4,36968,0.015349
D8.5,38294,0.026123
D8.6,38224,0.024556
D8.7,37361,0.019287
D8.8,36208,0.032407
D8.9,38304,0.021295
D8.10,37043,0.052115
D9.1,40917,0.028243
D9.2,38258,0.030877
D9.3,41521,0.028564
D9.4,39939,0.021581
D9.5,39409,0.019804
D9.6,39457,0.020405
D9.7,38540,0.029162
D9.8,40725,0.015746
D9.9,38191,0.019739
D9.10,39310,0.058505
D10.1,40996,0.032601
D10.2,40995,0.047965
D10.3,37698,0.039756
D10.4,40783,0.059401
D10.5,39898,0.035348
D10.6,40908,0.025348
D10.7,41372,0.031552
D10.8,41595,0.086251
D10.9,42781,0.031338
D10.10,40809,0.09281
E1.1,15042,0.161254
E1.2,14482,0.201157
E1.3,15176,0.400069
E1.4,14236,0.178521
E1.5,15254,0.170273
E1.6,14858,0.147967
E1.7,14477,0.087365
E1.8,14255,0.169877
E1.9,14537,0.186289
E1.10,14815,0.141135
E2.1,21962,0.124169
E2.2,20740,0.159675
E2.3,21060,0.14849
E2.4,21564,0.163896
E2.5,21456,0.090969
E2.6,22061,0.137788
E2.7,20975,0.09082
E2.8,21480,0.1137
E2.9,21570,0.187843
E2.10,21667,0.290459
E3.1,25610,0.103942
E3.2,27678,0.105411
E3.3,25739,0.099223
E3.4,26286,0.158846
E3.5,25984,0.099125
E3.6,25673,0.152591
E3.7,26177,0.124903
E3.8,25927,0.115424
E3.9,25645,0.132692
E3.10,25390,0.145686
E4.1,31201,0.096812
E4.2,28047,0.122638
E4.3,28650,0.145902
E4.4,30348,0.178146
E4.5,30292,0.155796
