Input file name,Solution cost,Time spent,Optimal
ga250a-1,258011.00000,14.05268,1
ga250a-2,257583.00000,10.16846,1
ga250a-3,258120.00000,15.94190,1
ga250a-4,258108.00000,14.12288,1
ga250a-5,258204.00000,11.07775,1
ga250b-1,276678.00000,8.06584,1
ga250b-2,275216.00000,3.95170,1
ga250b-3,276093.00000,4.29351,1
ga250b-4,276421.00000,4.52666,1
ga250b-5,276756.00000,5.71680,1
ga250c-1,335223.00000,1.49504,1
ga250c-2,331177.00000,1.46111,1
ga250c-3,333662.00000,1.74950,1
ga250c-4,332423.00000,1.77879,1
ga250c-5,334162.00000,1.13983,1
ga500a-1,511409.00000,260.42785,1
ga500a-2,511505.00000,117.15024,1
ga500a-3,510963.00000,159.26902,1
ga500a-4,511107.00000,107.86883,1
ga500a-5,511239.00000,171.38236,1
ga500b-1,538060.00000,36.25511,1
ga500b-2,538099.00000,52.10940,1
ga500b-3,538979.00000,62.84792,1
ga500b-4,538287.00000,32.09199,1
ga500b-5,537756.00000,57.51944,1
ga500c-1,621593.00000,26.34413,1
ga500c-2,622628.00000,25.15995,1
ga500c-3,621491.00000,20.00196,1
ga500c-4,622117.00000,10.64363,1
ga500c-5,622034.00000,29.80374,1
ga750a-1,763571.00000,677.92882,1
ga750a-2,763812.00000,465.66364,1
ga750a-3,763774.00000,841.96277,1
ga750a-4,763968.00000,636.55482,1
ga750a-5,763945.00000,1198.67697,1
ga750b-1,797200.00000,136.49670,1
ga750b-2,796362.00000,220.31923,1
ga750b-3,796517.00000,236.71819,1
ga750b-4,797045.00000,577.15469,1
ga750b-5,796537.00000,275.68716,1
ga750c-1,902832.00000,54.06095,1
ga750c-2,900295.00000,110.43601,1
ga750c-3,900366.00000,56.09698,1
ga750c-4,900502.00000,82.33225,1
ga750c-5,900735.00000,54.23610,1
gs250a-1,258095.00000,12.22091,1
gs250a-2,257616.00000,8.63478,1
gs250a-3,257758.00000,10.93585,1
gs250a-4,258093.00000,9.91304,1
gs250a-5,257930.00000,8.12029,1
gs250b-1,276850.00000,3.12284,1
gs250b-2,276056.00000,4.14187,1
gs250b-3,276135.00000,4.36309,1
gs250b-4,276660.00000,3.90196,1
gs250b-5,276370.00000,4.15794,1
gs250c-1,332935.00000,1.13728,1
gs250c-2,334630.00000,2.68210,1
gs250c-3,333000.00000,1.97935,1
gs250c-4,333158.00000,1.35976,1
gs250c-5,335021.00000,1.80205,1
gs500a-1,511417.00000,93.72679,1
gs500a-2,511338.00000,107.91590,1
gs500a-3,511240.00000,130.62815,1
gs500a-4,511370.00000,282.42554,1
gs500a-5,511411.00000,141.66593,1
gs500b-1,538490.00000,43.47457,1
gs500b-2,538055.00000,94.25879,1
gs500b-3,537975.00000,70.09283,1
gs500b-4,538186.00000,58.16662,1
gs500b-5,538698.00000,41.39805,1
gs500c-1,620366.00000,18.13310,1
gs500c-2,620434.00000,9.30929,1
gs500c-3,621204.00000,15.12476,1
gs500c-4,620437.00000,20.61245,1
gs500c-5,623868.00000,21.83601,1
gs750a-1,763822.00000,971.74225,1
gs750a-2,763650.00000,393.34035,1
gs750a-3,763918.00000,460.74184,1
gs750a-4,764040.00000,490.94779,1
gs750a-5,763808.00000,784.70316,1
gs750b-1,798050.00000,183.64314,1
gs750b-2,796418.00000,184.86337,1
gs750b-3,797304.00000,191.83635,1
gs750b-4,797161.00000,198.08575,1
gs750b-5,796620.00000,173.93013,1
gs750c-1,900836.00000,74.00290,1
gs750c-2,897886.00000,114.77680,1
gs750c-3,902386.00000,70.67822,1
gs750c-4,902204.00000,76.71037,1
gs750c-5,900936.00000,72.70548,1
