Input file name,Solution cost,Time spent,Optimal
ga250a-1,258011.00000,1.63229,1
ga250a-2,257583.00000,1.17485,1
ga250a-3,258120.00000,1.69498,1
ga250a-4,258108.00000,1.55425,1
ga250a-5,258204.00000,1.24320,1
ga250b-1,276678.00000,0.93250,1
ga250b-2,275216.00000,0.45490,1
ga250b-3,276093.00000,0.49872,1
ga250b-4,276421.00000,0.50506,1
ga250b-5,276756.00000,0.63972,1
ga250c-1,335223.00000,0.17079,1
ga250c-2,331177.00000,0.15716,1
ga250c-3,333662.00000,0.20317,1
ga250c-4,332423.00000,0.20260,1
ga250c-5,334162.00000,0.13112,1
ga500a-1,511409.00000,31.39514,1
ga500a-2,511505.00000,13.99235,1
ga500a-3,510963.00000,19.30989,1
ga500a-4,511107.00000,12.69770,1
ga500a-5,511239.00000,20.64374,1
ga500b-1,538060.00000,4.33001,1
ga500b-2,538099.00000,6.33705,1
ga500b-3,538979.00000,7.36706,1
ga500b-4,538287.00000,3.83195,1
ga500b-5,537756.00000,7.18814,1
ga500c-1,621593.00000,3.28835,1
ga500c-2,622628.00000,3.05091,1
ga500c-3,621491.00000,2.44574,1
ga500c-4,622117.00000,1.27938,1
ga500c-5,622034.00000,3.70338,1
ga750a-1,763571.00000,96.46115,1
ga750a-2,763812.00000,68.29588,1
ga750a-3,763774.00000,126.88979,1
ga750a-4,763968.00000,94.62117,1
ga750a-5,763945.00000,182.31452,1
ga750b-1,797200.00000,20.73470,1
ga750b-2,796362.00000,31.66924,1
ga750b-3,796517.00000,33.08007,1
ga750b-4,797045.00000,79.85429,1
ga750b-5,796537.00000,36.97968,1
ga750c-1,902832.00000,7.59986,1
ga750c-2,900295.00000,15.59951,1
ga750c-3,900366.00000,7.99676,1
ga750c-4,900502.00000,11.71824,1
ga750c-5,900735.00000,7.53828,1
gs250a-1,258095.00000,1.42621,1
gs250a-2,257616.00000,1.00647,1
gs250a-3,257758.00000,1.26551,1
gs250a-4,258093.00000,1.15707,1
gs250a-5,257930.00000,0.94551,1
gs250b-1,276850.00000,0.36537,1
gs250b-2,276056.00000,0.48124,1
gs250b-3,276135.00000,0.50700,1
gs250b-4,276660.00000,0.45524,1
gs250b-5,276370.00000,0.48740,1
gs250c-1,332935.00000,0.13616,1
gs250c-2,334630.00000,0.31896,1
gs250c-3,333000.00000,0.23312,1
gs250c-4,333158.00000,0.16225,1
gs250c-5,335021.00000,0.21002,1
gs500a-1,511417.00000,11.24299,1
gs500a-2,511338.00000,13.11754,1
gs500a-3,511240.00000,15.73440,1
gs500a-4,511370.00000,34.40954,1
gs500a-5,511411.00000,16.81097,1
gs500b-1,538490.00000,5.06190,1
gs500b-2,538055.00000,10.20839,1
gs500b-3,537975.00000,8.25689,1
gs500b-4,538186.00000,6.98056,1
gs500b-5,538698.00000,4.97438,1
gs500c-1,620366.00000,2.22216,1
gs500c-2,620434.00000,1.12431,1
gs500c-3,621204.00000,1.83671,1
gs500c-4,620437.00000,2.48241,1
gs500c-5,623868.00000,2.64609,1
gs750a-1,763822.00000,139.56571,1
gs750a-2,763650.00000,56.12672,1
gs750a-3,763918.00000,66.07549,1
gs750a-4,764040.00000,75.42173,1
gs750a-5,763808.00000,112.21410,1
gs750b-1,798050.00000,24.76096,1
gs750b-2,796418.00000,25.86828,1
gs750b-3,797304.00000,27.57891,1
gs750b-4,797161.00000,28.37663,1
gs750b-5,796620.00000,24.83281,1
gs750c-1,900836.00000,10.28802,1
gs750c-2,897886.00000,16.34445,1
gs750c-3,902386.00000,10.12098,1
gs750c-4,902204.00000,10.62339,1
gs750c-5,900936.00000,10.21965,1
