Input file name,Solution cost,Time spent,Optimal
ga250a-1,258121.00000,3.31541,1
ga250a-2,257569.00000,1.95327,1
ga250a-3,258212.00000,1.23406,1
ga250a-4,258225.00000,2.32047,1
ga250a-5,258294.00000,0.76244,1
ga250b-1,276453.00000,0.51888,1
ga250b-2,275526.00000,0.98733,1
ga250b-3,276624.00000,0.69584,1
ga250b-4,276899.00000,0.63812,1
ga250b-5,276749.00000,0.26143,1
ga250c-1,334323.00000,0.32600,1
ga250c-2,331344.00000,0.46094,1
ga250c-3,335891.00000,0.18214,1
ga250c-4,333156.00000,0.20729,1
ga250c-5,334369.00000,0.10533,1
ga500a-1,511543.00000,31.20038,1
ga500a-2,511445.00000,17.67965,1
ga500a-3,511128.00000,21.25399,1
ga500a-4,511178.00000,17.00128,1
ga500a-5,511647.00000,10.85186,1
ga500b-1,539046.00000,6.48199,1
ga500b-2,538927.00000,4.49280,1
ga500b-3,538776.00000,5.39062,1
ga500b-4,538944.00000,4.27059,1
ga500b-5,538693.00000,3.86949,1
ga500c-1,622411.00000,1.15951,1
ga500c-2,622673.00000,1.40737,1
ga500c-3,622770.00000,1.80790,1
ga500c-4,622042.00000,1.56584,1
ga500c-5,622588.00000,2.60623,1
ga750a-1,763725.00000,204.96219,1
ga750a-2,764140.00000,47.28226,1
ga750a-3,763834.00000,82.71489,1
ga750a-4,764166.00000,80.34800,1
ga750a-5,764109.00000,196.88949,1
ga750b-1,797455.00000,19.71211,1
ga750b-2,797102.00000,30.95245,1
ga750b-3,797357.00000,18.24902,1
ga750b-4,797429.00000,47.54927,1
ga750b-5,797150.00000,20.73735,1
ga750c-1,903249.00000,19.25775,1
ga750c-2,900295.00000,15.94044,1
ga750c-3,901267.00000,8.95902,1
ga750c-4,900584.00000,12.28517,1
ga750c-5,902243.00000,10.13726,1
gs250a-1,257964.00000,2.21175,1
gs250a-2,257854.00000,1.32433,1
gs250a-3,257725.00000,2.15819,1
gs250a-4,258136.00000,1.71155,1
gs250a-5,258014.00000,3.15432,1
gs250b-1,277291.00000,0.41650,1
gs250b-2,276518.00000,0.56290,1
gs250b-3,276712.00000,0.54062,1
gs250b-4,276331.00000,0.48324,1
gs250b-5,276051.00000,0.26731,1
gs250c-1,333001.00000,0.22040,1
gs250c-2,335410.00000,0.85242,1
gs250c-3,333891.00000,0.63109,1
gs250c-4,334599.00000,0.46920,1
gs250c-5,335680.00000,0.25094,1
gs500a-1,511371.00000,35.36576,1
gs500a-2,511684.00000,16.10600,1
gs500a-3,511369.00000,41.39870,1
gs500a-4,511530.00000,12.26241,1
gs500a-5,511576.00000,25.56521,1
gs500b-1,538619.00000,6.39494,1
gs500b-2,538130.00000,5.92164,1
gs500b-3,538149.00000,4.90284,1
gs500b-4,537828.00000,12.33579,1
gs500b-5,538375.00000,11.37415,1
gs500c-1,622594.00000,1.46456,1
gs500c-2,620628.00000,2.09938,1
gs500c-3,621980.00000,2.69508,1
gs500c-4,624059.00000,1.34933,1
gs500c-5,624734.00000,1.42084,1
gs750a-1,763922.00000,184.36733,1
gs750a-2,763974.00000,94.51626,1
gs750a-3,764110.00000,256.33398,1
gs750a-4,764308.00000,46.79117,1
gs750a-5,764020.00000,209.54452,1
gs750b-1,798752.00000,23.14626,1
gs750b-2,797232.00000,35.20772,1
gs750b-3,798074.00000,21.59763,1
gs750b-4,796932.00000,42.61011,1
gs750b-5,797278.00000,52.29988,1
gs750c-1,902778.00000,4.71389,1
gs750c-2,898407.00000,22.44395,1
gs750c-3,901653.00000,15.48681,1
gs750c-4,901475.00000,17.87787,1
gs750c-5,900287.00000,7.23254,1
