Input file name,Solution cost,Time spent,Optimal
ga250a-1,258121.00000,28.66685,1
ga250a-2,257569.00000,16.88778,1
ga250a-3,258212.00000,10.72502,1
ga250a-4,258225.00000,19.95889,1
ga250a-5,258294.00000,6.59778,1
ga250b-1,276453.00000,4.48414,1
ga250b-2,275526.00000,8.55925,1
ga250b-3,276624.00000,6.06030,1
ga250b-4,276899.00000,5.55429,1
ga250b-5,276749.00000,2.33325,1
ga250c-1,334323.00000,2.88101,1
ga250c-2,331344.00000,4.01499,1
ga250c-3,335891.00000,1.62276,1
ga250c-4,333156.00000,1.87098,1
ga250c-5,334369.00000,0.96086,1
ga500a-1,511543.00000,260.61879,1
ga500a-2,511445.00000,147.81694,1
ga500a-3,511128.00000,180.98595,1
ga500a-4,511178.00000,142.69089,1
ga500a-5,511647.00000,90.91886,1
ga500b-1,539046.00000,53.89033,1
ga500b-2,538927.00000,37.06789,1
ga500b-3,538776.00000,45.23662,1
ga500b-4,538944.00000,35.84922,1
ga500b-5,538693.00000,32.74349,1
ga500c-1,622411.00000,9.65044,1
ga500c-2,622673.00000,11.77062,1
ga500c-3,622770.00000,15.18049,1
ga500c-4,622042.00000,13.15265,1
ga500c-5,622588.00000,21.94814,1
ga750a-1,763847.00000,1055.37670,0
ga750a-2,764140.00000,337.53404,1
ga750a-3,763834.00000,589.79100,1
ga750a-4,764166.00000,587.16267,1
ga750a-5,764115.00000,935.05256,0
ga750b-1,797455.00000,144.37184,1
ga750b-2,797102.00000,215.69402,1
ga750b-3,797357.00000,136.91322,1
ga750b-4,797429.00000,351.54664,1
ga750b-5,797150.00000,149.00634,1
ga750c-1,903249.00000,135.43207,1
ga750c-2,900295.00000,112.03100,1
ga750c-3,901267.00000,65.47902,1
ga750c-4,900584.00000,86.41926,1
ga750c-5,902243.00000,75.65616,1
gs250a-1,257964.00000,19.14766,1
gs250a-2,257854.00000,11.49949,1
gs250a-3,257725.00000,18.75169,1
gs250a-4,258136.00000,14.82887,1
gs250a-5,258014.00000,27.27284,1
gs250b-1,277291.00000,3.61462,1
gs250b-2,276518.00000,4.85652,1
gs250b-3,276712.00000,4.67018,1
gs250b-4,276331.00000,4.20472,1
gs250b-5,276051.00000,2.30714,1
gs250c-1,333001.00000,1.92491,1
gs250c-2,335410.00000,7.48320,1
gs250c-3,333891.00000,5.51254,1
gs250c-4,334599.00000,4.12017,1
gs250c-5,335680.00000,2.30016,1
gs500a-1,511371.00000,294.79273,1
gs500a-2,511684.00000,134.77466,1
gs500a-3,511369.00000,342.87173,1
gs500a-4,511530.00000,104.06470,1
gs500a-5,511576.00000,182.28664,1
gs500b-1,538619.00000,52.16676,1
gs500b-2,538130.00000,46.08441,1
gs500b-3,538149.00000,40.55248,1
gs500b-4,537828.00000,101.00576,1
gs500b-5,538375.00000,92.01854,1
gs500c-1,622594.00000,12.34174,1
gs500c-2,620628.00000,18.02271,1
gs500c-3,621980.00000,24.20131,1
gs500c-4,624059.00000,11.37786,1
gs500c-5,624734.00000,11.90562,1
gs750a-1,763922.00000,977.61310,0
gs750a-2,763974.00000,669.50793,1
gs750a-3,764145.00000,1061.21389,0
gs750a-4,764308.00000,335.74272,1
gs750a-5,764045.00000,968.10072,0
gs750b-1,798752.00000,176.61283,1
gs750b-2,797232.00000,270.28030,1
gs750b-3,798074.00000,170.76540,1
gs750b-4,796932.00000,341.21702,1
gs750b-5,797278.00000,415.91941,1
gs750c-1,902778.00000,40.40747,1
gs750c-2,898407.00000,177.51421,1
gs750c-3,901653.00000,123.56544,1
gs750c-4,901475.00000,143.41944,1
gs750c-5,900287.00000,58.21475,1
