Input file name,Solution cost,Time spent,Optimal
cap71.txt,932615.75000,0.01274,1
cap72.txt,977799.40000,0.05275,1
cap73.txt,1012476.97500,0.00848,1
cap74.txt,1034976.97500,0.00839,1
cap101.txt,797508.72500,0.04393,1
cap102.txt,854704.20000,0.04352,1
cap103.txt,895027.18750,0.02541,1
cap104.txt,928941.75000,0.01696,1
cap131.txt,794299.85000,0.25519,1
cap132.txt,851495.32500,0.14786,1
cap133.txt,894095.76250,0.09438,1
cap134.txt,928941.75000,0.04603,1
capa.txt,17156454.47830,4.60051,1
capb.txt,12979071.58143,9.52084,1
capc.txt,11535255.51020,15.22445,1
B1.1,23468.00000,0.14121,1
B1.2,22119.00000,0.10870,1
B1.3,23549.00000,0.13243,1
B1.4,20747.00000,0.11424,1
B1.5,23976.00000,0.12499,1
B1.6,21014.00000,0.12101,1
B1.7,22122.00000,0.10580,1
B1.8,20338.00000,0.19618,1
B1.9,25132.00000,0.07123,1
B1.10,21864.00000,0.18369,1
C1.1,16781.00000,0.15223,1
C1.2,15842.00000,0.13305,1
C1.3,17668.00000,0.28022,1
C1.4,16799.00000,0.16311,1
C1.5,17507.00000,0.14724,1
C1.6,18106.00000,0.15108,1
C1.7,17787.00000,0.10005,1
C1.8,17677.00000,0.24323,1
C1.9,17565.00000,0.18577,1
C1.10,17994.00000,0.14479,1
D1.1,14463.00000,0.03451,1
D1.2,14378.00000,0.07927,1
D1.3,14473.00000,0.04060,1
D1.4,13348.00000,0.04312,1
D1.5,12166.00000,0.03243,1
D1.6,14031.00000,0.06839,1
D1.7,14722.00000,0.04147,1
D1.8,13494.00000,0.04534,1
D1.9,14455.00000,0.05370,1
D1.10,14654.00000,0.06886,1
D2.1,18312.00000,0.06844,1
D2.2,19208.00000,0.11378,1
D2.3,19885.00000,0.04539,1
D2.4,19090.00000,0.06893,1
D2.5,19917.00000,0.04953,1
D2.6,20333.00000,0.03594,1
D2.7,19381.00000,0.06574,1
D2.8,19731.00000,0.05322,1
D2.9,18245.00000,0.04215,1
D2.10,18759.00000,0.08316,1
D3.1,23952.00000,0.05994,1
D3.2,24324.00000,0.05982,1
D3.3,23416.00000,0.03824,1
D3.4,22636.00000,0.04570,1
D3.5,23571.00000,0.06717,1
D3.6,23643.00000,0.03543,1
D3.7,23172.00000,0.04496,1
D3.8,23385.00000,0.09993,1
D3.9,24413.00000,0.02231,1
D3.10,22341.00000,0.06890,1
D4.1,27871.00000,0.03208,1
D4.2,26652.00000,0.03963,1
D4.3,27313.00000,0.07286,1
D4.4,28307.00000,0.02808,1
D4.5,26014.00000,0.03045,1
D4.6,26590.00000,0.04090,1
D4.7,26292.00000,0.03271,1
D4.8,28024.00000,0.02925,1
D4.9,26151.00000,0.03240,1
D4.10,25261.00000,0.05176,1
D5.1,30829.00000,0.06769,1
D5.2,30428.00000,0.06711,1
D5.3,30082.00000,0.04694,1
D5.4,29505.00000,0.06389,1
D5.5,30736.00000,0.03197,1
D5.6,28468.00000,0.02857,1
D5.7,32080.00000,0.04645,1
D5.8,30218.00000,0.02948,1
D5.9,30168.00000,0.04469,1
D5.10,29233.00000,0.04726,1
D6.1,31823.00000,0.05116,1
D6.2,34045.00000,0.05493,1
D6.3,32119.00000,0.06264,1
D6.4,33409.00000,0.04099,1
D6.5,32999.00000,0.08017,1
D6.6,33502.00000,0.05519,1
D6.7,32222.00000,0.03908,1
D6.8,33449.00000,0.03950,1
D6.9,33152.00000,0.03818,1
D6.10,35564.00000,0.03973,1
D7.1,35002.00000,0.03846,1
D7.2,35534.00000,0.04699,1
D7.3,36503.00000,0.02063,1
D7.4,36580.00000,0.02959,1
D7.5,32942.00000,0.02835,1
D7.6,36235.00000,0.02272,1
D7.7,35618.00000,0.02649,1
D7.8,33132.00000,0.02004,1
D7.9,36193.00000,0.01838,1
D7.10,36134.00000,0.03813,1
D8.1,36710.00000,0.05336,1
D8.2,37050.00000,0.03059,1
D8.3,38004.00000,0.03918,1
D8.4,36968.00000,0.07765,1
D8.5,38294.00000,0.03419,1
D8.6,38224.00000,0.02324,1
D8.7,37861.00000,0.03312,1
D8.8,36208.00000,0.03509,1
D8.9,38304.00000,0.02490,1
D8.10,37043.00000,0.09187,1
D9.1,40917.00000,0.03422,1
