Input file name,Solution cost,Time spent,Optimal
ga250a-1,258260.00000,14.66555,1
ga250a-2,257582.00000,19.86411,1
ga250a-3,258050.00000,6.64300,1
ga250a-4,258203.00000,31.04305,1
ga250a-5,258522.00000,6.45142,1
ga250b-1,276631.00000,4.94086,1
ga250b-2,275216.00000,7.17077,1
ga250b-3,276145.00000,7.76379,1
ga250b-4,276480.00000,4.53447,1
ga250b-5,276756.00000,7.71293,1
ga250c-1,334323.00000,2.85667,1
ga250c-2,331452.00000,3.37234,1
ga250c-3,335891.00000,1.60710,1
ga250c-4,333156.00000,1.81258,1
ga250c-5,334369.00000,0.94499,1
ga500a-1,511651.00000,224.94288,1
ga500a-2,511702.00000,183.61997,1
ga500a-3,511376.00000,181.52084,1
ga500a-4,511077.00000,185.45384,1
ga500a-5,511439.00000,313.67717,1
ga500b-1,538500.00000,76.97563,1
ga500b-2,537907.00000,131.98309,1
ga500b-3,538720.00000,82.05086,1
ga500b-4,538937.00000,24.96762,1
ga500b-5,538374.00000,28.25013,1
ga500c-1,621930.00000,13.02741,1
ga500c-2,622815.00000,39.77356,1
ga500c-3,622536.00000,11.71675,1
ga500c-4,622042.00000,13.20557,1
ga500c-5,622588.00000,21.85120,1
ga750a-1,763833.00000,691.47363,1
ga750a-2,764066.00000,657.80673,1
ga750a-3,764007.00000,517.54401,1
ga750a-4,764391.00000,342.37193,1
ga750a-5,764233.00000,531.63317,1
ga750b-1,797382.00000,146.77327,1
ga750b-2,797523.00000,171.21446,1
ga750b-3,797208.00000,162.95814,1
ga750b-4,797625.00000,354.41181,1
ga750b-5,797368.00000,220.68797,1
ga750c-1,903249.00000,134.66115,1
ga750c-2,900360.00000,95.11525,1
ga750c-3,901267.00000,71.52909,1
ga750c-4,902180.00000,76.19529,1
ga750c-5,899235.00000,114.36919,1
gs250a-1,258002.00000,14.62249,1
gs250a-2,257707.00000,9.69786,1
gs250a-3,257746.00000,10.23689,1
gs250a-4,258114.00000,18.54344,1
gs250a-5,258161.00000,11.71937,1
gs250b-1,277306.00000,3.54133,1
gs250b-2,275902.00000,8.59375,1
gs250b-3,276035.00000,6.39595,1
gs250b-4,276445.00000,3.98204,1
gs250b-5,276051.00000,2.29796,1
gs250c-1,332935.00000,2.89697,1
gs250c-2,335234.00000,3.45564,1
gs250c-3,333652.00000,4.47225,1
gs250c-4,334648.00000,2.31558,1
gs250c-5,334944.00000,2.26326,1
gs500a-1,511342.00000,334.22080,1
gs500a-2,511373.00000,187.63530,1
gs500a-3,511469.00000,98.26197,1
gs500a-4,511293.00000,239.94382,1
gs500a-5,511666.00000,98.79064,1
gs500b-1,538619.00000,51.89124,1
gs500b-2,538290.00000,48.59413,1
gs500b-3,538761.00000,31.64999,1
gs500b-4,537885.00000,74.76816,1
gs500b-5,539470.00000,59.43319,1
gs500c-1,621190.00000,33.45152,1
gs500c-2,620443.00000,10.53834,1
gs500c-3,621388.00000,41.16796,1
gs500c-4,624059.00000,11.30200,1
gs500c-5,626392.00000,7.48736,1
gs750a-1,764028.00000,753.40896,1
gs750a-2,764008.00000,847.40638,1
gs750a-3,764034.00000,1262.01223,1
gs750a-4,764093.00000,783.59367,1
gs750a-5,763948.00000,772.93755,1
gs750b-1,798152.00000,196.63652,1
gs750b-2,796430.00000,340.48418,1
gs750b-3,798051.00000,233.83499,1
gs750b-4,797409.00000,172.06024,1
gs750b-5,797208.00000,154.09324,1
gs750c-1,901726.00000,66.53605,1
gs750c-2,900848.00000,63.26642,1
gs750c-3,903569.00000,75.27593,1
gs750c-4,902994.00000,119.20425,1
gs750c-5,900287.00000,52.61479,1
