time spent so far, current solution cost, current qty moves
0.262661,259999,0
2e-06,259819,1
0.009243,259640,2
0.011678,259478,3
0.018184,259323,4
0.020915,259171,5
0.02961,259025,6
0.030944,258889,7
0.039046,258753,8
0.042602,258636,9
0.045569,258530,10
0.048981,258439,11
0.05138,258370,12
0.056515,258310,13
0.062699,258265,14
0.067362,258223,15
0.071,258187,16
0.10805,258094,17
0.109325,258061,18
0.114446,258036,19
0.144225,258024,21
0.160133,258007,23
0.287693,258000,29
0.291325,257986,30
0.430921,257986,288
