Input file name,Solution cost,Time spent
ga250a-1,272332.00000,0.91825
ga250a-2,267846.00000,0.94404
ga250a-3,266973.00000,0.98168
ga250a-4,274547.00000,0.99032
ga250a-5,267437.00000,0.99511
ga250b-1,366576.00000,1.81204
ga250b-2,331467.00000,1.76293
ga250b-3,329957.00000,1.82317
ga250b-4,329429.00000,1.87328
ga250b-5,330742.00000,1.84756
ga250c-1,377284.00000,5.07896
ga250c-2,380470.00000,4.97378
ga250c-3,379724.00000,5.06872
ga250c-4,382849.00000,5.05593
ga250c-5,380652.00000,5.10340
ga500a-1,539490.00000,4.00691
ga500a-2,542913.00000,4.03401
ga500a-3,535394.00000,3.88141
ga500a-4,532273.00000,3.82096
ga500a-5,532632.00000,3.99940
ga500b-1,617357.00000,5.97935
ga500b-2,661029.00000,5.99611
ga500b-3,664414.00000,5.95735
ga500b-4,667955.00000,5.94670
ga500b-5,662040.00000,5.93834
ga500c-1,754672.00000,15.14885
ga500c-2,762568.00000,15.12736
ga500c-3,745722.00000,15.11501
ga500c-4,752945.00000,15.25365
ga500c-5,748663.00000,14.92103
ga750a-1,797523.00000,9.33721
ga750a-2,797995.00000,9.45426
ga750a-3,797076.00000,9.35867
ga750a-4,809037.00000,9.26319
ga750a-5,812563.00000,9.49730
ga750b-1,1000479.00000,12.21217
ga750b-2,932730.00000,12.05787
ga750b-3,998665.00000,12.06451
ga750b-4,991474.00000,12.00089
ga750b-5,993197.00000,12.40187
ga750c-1,1137682.00000,29.09762
ga750c-2,1130314.00000,30.20893
ga750c-3,1129053.00000,30.42932
ga750c-4,1124898.00000,29.91288
ga750c-5,1141452.00000,29.86446
gs250a-1,267399.00000,1.02737
gs250a-2,272011.00000,0.97694
gs250a-3,266432.00000,1.01938
gs250a-4,273990.00000,1.02594
gs250a-5,269203.00000,1.00910
gs250b-1,329161.00000,1.89103
gs250b-2,331608.00000,1.87338
gs250b-3,335724.00000,1.82489
gs250b-4,335474.00000,1.86942
gs250b-5,371466.00000,1.88237
gs250c-1,374156.00000,5.12741
gs250c-2,380805.00000,5.47890
gs250c-3,381192.00000,5.37372
gs250c-4,381027.00000,5.46985
gs250c-5,384306.00000,5.48857
gs500a-1,543871.00000,4.31575
gs500a-2,532087.00000,4.28405
gs500a-3,535234.00000,4.16548
gs500a-4,538375.00000,4.31867
gs500a-5,540691.00000,4.20136
gs500b-1,659105.00000,6.51858
gs500b-2,744914.00000,6.41864
gs500b-3,665410.00000,6.10095
gs500b-4,666693.00000,6.19539
gs500b-5,666414.00000,6.15029
gs500c-1,756592.00000,15.74602
gs500c-2,754625.00000,15.49747
gs500c-3,755984.00000,16.61566
gs500c-4,769332.00000,16.21683
gs500c-5,750521.00000,16.18850
gs750a-1,794239.00000,9.88586
gs750a-2,794815.00000,9.80030
gs750a-3,804612.00000,10.08118
gs750a-4,808411.00000,10.72169
gs750a-5,796220.00000,10.81223
gs750b-1,941059.00000,13.56970
gs750b-2,1000583.00000,13.64589
gs750b-3,996488.00000,12.92057
gs750b-4,1003073.00000,13.21964
gs750b-5,987795.00000,13.22824
gs750c-1,1139832.00000,31.41967
gs750c-2,1129350.00000,32.16983
gs750c-3,1128761.00000,30.93255
gs750c-4,1130399.00000,30.98901
gs750c-5,1118876.00000,30.43721
