file_name,best_sol,min_cost,avg_cost,max_cost,sd_cost,avg_time,sd_time
cap71.txt,1,932615.75,932615.75,932615.75,0.0,0.0024560000000000003,0.00013093509842666324
cap72.txt,1,977799.4,977799.4000000001,977799.4,1.1641532182693481e-10,0.013640999999999997,0.030482583371492646
cap73.txt,1,1010641.45,1010641.45,1010641.45,0.0,0.004072,0.0006445277340813194
cap74.txt,1,1034976.975,1034976.9749999999,1034976.975,1.1641532182693481e-10,0.0042450000000000005,0.0009259616622733363
B1.1,1,27248.0,29067.5,31593.0,1550.7050815677364,0.012487999999999999,0.0007692437845052761
B1.2,1,22119.0,22119.0,22119.0,0.0,0.014221999999999999,0.0010175539297747314
B1.3,1,23549.0,23549.0,23549.0,0.0,0.01675,0.00356702677309829
B1.4,10,25078.0,27326.5,31089.0,2000.8515312236439,0.01668,0.0027118480783406727
B1.5,6,28720.0,31424.9,34542.0,1679.8988332634794,0.016297,0.002181316345695874
B1.6,4,24337.0,25163.7,26128.0,572.7811187530539,0.015410000000000002,0.002493663970947168
B1.7,1,27356.0,27743.3,28300.0,283.26879461034883,0.016527,0.002798203173466859
B1.8,7,22341.0,24764.6,26562.0,1265.4265841999686,0.013792000000000002,0.0020450907070347765
B1.9,7,29334.0,32669.0,35451.0,1633.1919666714014,0.015333,0.003017969681756263
B1.10,2,25584.0,29389.4,32727.0,2402.750016127354,0.015030000000000002,0.002696649773329863
