OPT or BUB,,,MIP,,,,Primal Dual,,,,Greedy,,,,Local Search,,,,,,,,,,,,,,,,Randomized Rounding,,,,Trivial,,,
Input file name,Solution cost,,Cost / BUB,%,Time Spent,,Cost / BUB,%,Time Spent,,Cost / BUB,%,Time Spent,,LS_G / BUB,%,Time Spent (G + LS_G),,LS_PD / BUB,%,Time Spent (PD + LS_LD),,LS_T / BUB,%,Time Spent (T + LS_T),,LS_RR / BUB,%,Time Spent (RR + LP + Dual + LS_RR),,Cost / BUB,%,Time Spent (RR + LP + Dual),,Cost / BUB,%,Time Spent,
capa.txt,17156454.4783,,0.999999999999994,-0.00%,6.91,,1.77319436390067,77.32%,923.73,,1.03548212548577,3.55%,40.94,,1,0.00%,44.61,,1,0.00%,927.98,,1,0.00%,4.77,,1,0.00%,29.73,,1,0.00%,26.38,,1.79733480577366,79.73%,0.02,
capb.txt,12979071.58143,,0.999999999999992,-0.00%,7.08,,2.42560522907998,142.56%,596.14,,1.0070631789196,0.71%,49.57,,1.0070631789196,0.71%,53.33,,1,0.00%,602.87,,1,0.00%,9.64,,1,0.00%,29.26,,1,0.00%,24.82,,2.21929860334636,121.93%,0.02,
capc.txt,11505594.32878,,0.999999999999991,-0.00%,11.91,,2.98208625200226,198.21%,558.39,,1.01714995538009,1.71%,52.83,,1.00257797907456,0.26%,61.60,,1.00257797907456,0.26%,572.36,,1.00257797907456,0.26%,15.34,,1.00217687507627,0.22%,31.99,,1.05453313066832,5.45%,24.28,,2.07190426944835,107.19%,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga250a-1,257957,,1,0.00%,902.95,,1.05572634198723,5.57%,0.92,,1.00062801164535,0.06%,3.00,,1.00020933721512,0.02%,17.05,,1.00117461437371,0.12%,15.58,,1.00063576487554,0.06%,28.71,,1.000695464748,0.07%,22.43,,1.00902165864853,0.90%,4.55,,1.45637838864617,45.64%,0.04,
ga250a-2,257502,,1,0.00%,646.22,,1.04017056178204,4.02%,0.94,,1.00053980163261,0.05%,2.79,,1.00031456066361,0.03%,12.96,,1.00031067719862,0.03%,20.81,,1.00026019215385,0.03%,16.93,,1.00073242149576,0.07%,17.51,,1.00779023075549,0.78%,4.39,,1.46234592352681,46.23%,0.04,
ga250a-3,257953,,1.00005039677771,0.01%,903.85,,1.03496761037863,3.50%,0.98,,1.00107383903269,0.11%,2.69,,1.00064740475978,0.06%,18.63,,1.0003760374952,0.04%,7.62,,1.00100405887894,0.10%,10.76,,1.00075517633057,0.08%,20.50,,1.01008051854408,1.01%,4.42,,1.45360588944498,45.36%,0.04,
ga250a-4,257987,,1.00006977095745,0.01%,904.09,,1.06418928085524,6.42%,0.99,,1.0008217468322,0.08%,2.51,,1.00046901588065,0.05%,16.63,,1.00083725148942,0.08%,32.03,,1.00092252710408,0.09%,20.00,,1.0008651598724,0.09%,19.28,,1.01058347901251,1.06%,4.42,,1.42300581037029,42.30%,0.04,
ga250a-5,258190,,1,0.00%,904.73,,1.03581471009722,3.58%,1.00,,1.00084821255664,0.08%,2.65,,1.00005422363376,0.01%,13.73,,1.00128587474341,0.13%,7.45,,1.00040280413649,0.04%,6.64,,1.00071652658895,0.07%,22.82,,1.00906309307099,0.91%,4.28,,1.4891281614315,48.91%,0.04,
ga250b-1,276296,,1,0.00%,904.18,,1.32675102064453,32.68%,1.81,,1.00365911920549,0.37%,2.10,,1.0013825752092,0.14%,10.17,,1.00121246778817,0.12%,6.75,,1.00056823117237,0.06%,4.52,,1.00179010915829,0.18%,10.89,,1.04765396531256,4.77%,6.07,,1.36396111416741,36.40%,0.04,
ga250b-2,275141,,1.00003271050116,0.00%,905.38,,1.20471685426745,20.47%,1.76,,1.00100675653574,0.10%,2.33,,1.00027258750968,0.03%,6.29,,1.00027258750968,0.03%,8.93,,1.00139928254967,0.14%,8.60,,1.00146652080206,0.15%,12.24,,1.03978469221236,3.98%,6.06,,1.37444074129265,37.44%,0.04,
ga250b-3,276093,,1.00057589290565,0.06%,903.12,,1.19509368220129,19.51%,1.82,,1.00116265171518,0.12%,1.88,,1,0.00%,6.17,,1.00018834233392,0.02%,9.59,,1.0019232649868,0.19%,6.10,,1.00074431441579,0.07%,10.97,,1.05647770859819,5.65%,6.19,,1.36193239234606,36.19%,0.04,
ga250b-4,276332,,1.0002569373073,0.03%,905.15,,1.19214929866972,19.21%,1.87,,1.00492885369773,0.49%,2.06,,1.00032207634295,0.03%,6.59,,1.00053558762648,0.05%,6.41,,1.00205187962306,0.21%,5.59,,1.00142618299726,0.14%,12.10,,1.04922665489339,4.92%,6.24,,1.33372175499037,33.37%,0.04,
ga250b-5,276404,,1,0.00%,905.19,,1.19658905080968,19.66%,1.85,,1.00408460080173,0.41%,2.14,,1.00127349821276,0.13%,7.86,,1.00127349821276,0.13%,9.56,,1.00124817296421,0.12%,2.37,,1.00326876600917,0.33%,9.76,,1.05005354481122,5.01%,5.44,,1.39744721494624,39.74%,0.04,
ga250c-1,334135,,1.00167297649154,0.17%,904.04,,1.12913642689332,12.91%,5.08,,1.00325616891376,0.33%,1.88,,1.00325616891376,0.33%,3.37,,1.00056264683436,0.06%,7.94,,1.00056264683436,0.06%,2.92,,1.00383737112245,0.38%,8.74,,1.18181603244198,18.18%,6.51,,1.16299399943137,16.30%,0.04,
ga250c-2,330728,,1.00923417430638,0.92%,904.95,,1.15040153842432,15.04%,4.97,,1.00186255775138,0.19%,2.56,,1.00135761108827,0.14%,4.02,,1.00218911008442,0.22%,8.35,,1.00186255775138,0.19%,4.05,,1.00220211170509,0.22%,9.71,,1.17451742821896,17.45%,7.04,,1.19205207904985,19.21%,0.04,
ga250c-3,333662,,1.00146555496281,0.15%,903.63,,1.13804988281554,13.80%,5.07,,1,0.00%,2.16,,1,0.00%,3.91,,1.00668041311267,0.67%,6.68,,1.00668041311267,0.67%,1.66,,1.0052136593319,0.52%,9.18,,1.17719039027519,17.72%,6.59,,1.15866655477699,15.87%,0.04,
