OPT or BUB,,,Tabu Search,,,,,Late Acceptance,,,,
Input file name,Solution cost,,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),
ga250a-1 *OPT,257957,,ga250a-1__a1-2.5_l-0.01-0.05,257971,0.01%,135.39,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1,258023,0.03%,0.36,
,257957,,ga250a-1__a1-1_l-0.01-0.05,257985,0.01%,36.78,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-10,257989,0.01%,1.83,
,257957,,ga250a-1__a1-0.5_l-0.01-0.05,257985,0.01%,19.26,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-50,258007,0.02%,3.37,
,257957,,ga250a-1__a1-0.1_l-0.01-0.05,257985,0.01%,5.64,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-250,258023,0.03%,4.67,
,257957,,ga250a-1__a1-2.5_l-0.04-0.08,257984,0.01%,131.58,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1000,258023,0.03%,4.27,
,257957,,ga250a-1__a1-1_l-0.04-0.08,257993,0.01%,33.71,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-10000,258023,0.03%,5.04,
,257957,,ga250a-1__a1-0.5_l-0.04-0.08,257993,0.01%,17.59,,,,,,
,257957,,ga250a-1__a1-0.1_l-0.04-0.08,257993,0.01%,5.19,,ga250a-1__bf-1_a1-2.5_idle-0.02_lh-1,258023,0.03%,0.36,
,257957,,ga250a-1__a1-2.5_l-0.1-0.2,257998,0.02%,84.54,,ga250a-1__bf-1_a1-2.5_idle-0.02_lh-10,258010,0.02%,3.03,
,257957,,ga250a-1__a1-1_l-0.1-0.2,257998,0.02%,35.71,,,,,,
,257957,,ga250a-1__a1-0.5_l-0.1-0.2,257998,0.02%,18.73,,,,,,
,257957,,ga250a-1__a1-0.1_l-0.1-0.2,257998,0.02%,5.53,,,,,,
,257957,,ga250a-1__a1-2.5_l-0.01-0.08,257971,0.01%,126.50,,,(no meu computador),,,
,257957,,ga250a-1__a1-1_l-0.01-0.08,257971,0.01%,78.23,,,,,,
,257957,,ga250a-1__a1-0.5_l-0.01-0.08,258006,0.02%,19.77,,,,,,
,257957,,ga250a-1__a1-0.1_l-0.01-0.08,258006,0.02%,5.45,,,,,,
,,,,,,,,,,,,
ga250a-2 *OPT,257502,,ga250a-2__a1-2.5_l-0.01-0.05,257502,0.00%,66.32,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1,257596,0.04%,0.11,
,257502,,ga250a-2__a1-1_l-0.01-0.05,257502,0.00%,27.24,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-10,257596,0.04%,0.13,
,257502,,ga250a-2__a1-0.5_l-0.01-0.05,257502,0.00%,15.00,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-50,257596,0.04%,1.01,
,257502,,ga250a-2__a1-0.1_l-0.01-0.05,257502,0.00%,5.40,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-250,257570,0.03%,4.37,
,257502,,ga250a-2__a1-2.5_l-0.04-0.08,257502,0.00%,85.87,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1000,257570,0.03%,5.33,
,257502,,ga250a-2__a1-1_l-0.04-0.08,257502,0.00%,40.60,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-10000,257570,0.03%,5.99,
,257502,,ga250a-2__a1-0.5_l-0.04-0.08,257502,0.00%,25.14,,,,,,
,257502,,ga250a-2__a1-0.1_l-0.04-0.08,257514,0.00%,7.86,,ga250a-2__bf-1_a1-2.5_idle-0.02_lh-1,257583,0.03%,0.49,
,257502,,ga250a-2__a1-2.5_l-0.1-0.2,257583,0.03%,84.67,,ga250a-2__bf-1_a1-2.5_idle-0.02_lh-10,257583,0.03%,2.33,
,257502,,ga250a-2__a1-1_l-0.1-0.2,257583,0.03%,34.58,,,,,,
,257502,,ga250a-2__a1-0.5_l-0.1-0.2,257583,0.03%,17.40,,,,,,
,257502,,ga250a-2__a1-0.1_l-0.1-0.2,257583,0.03%,3.92,,,,,,
,257502,,ga250a-2__a1-2.5_l-0.01-0.08,257502,0.00%,124.75,,,,,,
,257502,,ga250a-2__a1-1_l-0.01-0.08,257504,0.00%,43.86,,,,,,
,257502,,ga250a-2__a1-0.5_l-0.01-0.08,257504,0.00%,30.49,,,,,,
,257502,,ga250a-2__a1-0.1_l-0.01-0.08,257583,0.03%,3.39,,,,,,
,,,,,,,,,,,,
