OPT or BUB,,,Tabu Search,,,,,Late Acceptance,,,,
Input file name,Solution cost,,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),
ga500b-1,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-1,538060,0.00%,0.89,
,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-10,538060,0.00%,5.37,
,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-50,538067,0.00%,8.52,
,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-250,538067,0.00%,12.82,
,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-500,538069,0.00%,8.16,
,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-1000,538069,0.00%,8.27,
,538060,,,,-100.00%,,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-10000,538069,0.00%,9.08,
,538060,,,,-100.00%,,,,,,,
,538060,,,,-100.00%,,,ga500b-1__bf-1_a1-2.5_idle-0.02_lh-1,538060,0.00%,1.07,
,538060,,,,-100.00%,,,ga500b-1__bf-1_a1-2.5_idle-0.02_lh-10,538060,0.00%,13.82,
,538060,,,,-100.00%,,,,,,,
,538060,,,,-100.00%,,,,,,,
,538060,,,,-100.00%,,,,(no meu computador),,,
,538060,,,,-100.00%,,,,,,,
,538060,,,,-100.00%,,,,,,,
,538060,,,,-100.00%,,,,,,,
,,,,,,,,,,,,
ga500b-2,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-1,538307,0.08%,5.63,
,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-10,538402,0.10%,6.89,
,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-50,538239,0.07%,34.51,
,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-250,538608,0.14%,20.76,
,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-500,538716,0.16%,34.55,
,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-1000,538679,0.15%,48.91,
,537850,,,,-100.00%,,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-10000,538679,0.15%,55.22,
,537850,,,,-100.00%,,,,,,,
,537850,,,,-100.00%,,,ga500b-2__bf-1_a1-2.5_idle-0.02_lh-1,538305,0.08%,1.99,
,537850,,,,-100.00%,,,ga500b-2__bf-1_a1-2.5_idle-0.02_lh-10,538177,0.06%,16.81,
,537850,,,,-100.00%,,,,,,,
,537850,,,,-100.00%,,,,,,,
,537850,,,,-100.00%,,,,,,,
,537850,,,,-100.00%,,,,,,,
,537850,,,,-100.00%,,,,,,,
,537850,,,,-100.00%,,,,,,,
,,,,,,,,,,,,
ga500b-3,537921,,,,-100.00%,,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-1,539140,0.23%,0.64,
,537921,,,,-100.00%,,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-10,539140,0.23%,0.77,
