,,,Input file name TS,Solution cost,Time spent,,Input file name LA,Solution cost,Time spent,,
,,,ga250a-1__bf-0_a1-2.5_l-0.01-0.05,257957,12.16,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.05,257989,0.13,,
,,,ga250a-1__bf-0_a1-2.5_l-0.04-0.08,257971,10.53,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.1,257989,0.18,,
,,,ga250a-1__bf-0_a1-2.5_l-0.01-0.08,257971,19.79,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.5,258023,0.23,,
,,,ga250a-1__bf-1_a1-2.5_l-0.01-0.05,257971,16.00,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1,258023,0.37,,
,,,ga250a-1__bf-1_a1-2.5_l-0.04-0.08,257984,15.92,,ga250a-1__bf-1_a1-2.5_idle-0.02_lh-10,258010,0.22,,
,,,ga250a-1__bf-1_a1-2.5_l-0.01-0.08,257971,15.25,,,,,,
,,,,,,,,,,,
,,,ga250a-2__bf-0_a1-2.5_l-0.01-0.05,257502,8.59,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.05,257596,0.01,,
,,,ga250a-2__bf-0_a1-2.5_l-0.04-0.08,257502,10.81,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.1,257596,0.02,,
,,,ga250a-2__bf-0_a1-2.5_l-0.01-0.08,257502,10.59,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.5,257596,0.13,,
,,,ga250a-2__bf-1_a1-2.5_l-0.01-0.05,257502,7.70,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1,257570,0.32,,
,,,ga250a-2__bf-1_a1-2.5_l-0.04-0.08,257502,10.27,,ga250a-2__bf-1_a1-2.5_idle-0.02_lh-10,257583,0.15,,
,,,ga250a-2__bf-1_a1-2.5_l-0.01-0.08,257502,15.05,,,,,,
,,,,,,,,,,,
,,,ga250a-3__bf-0_a1-2.5_l-0.01-0.05,257953,19.80,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.05,258175,0.15,,
,,,ga250a-3__bf-0_a1-2.5_l-0.04-0.08,257977,13.39,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.1,258136,0.35,,
,,,ga250a-3__bf-0_a1-2.5_l-0.01-0.08,257986,27.10,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.5,258163,0.46,,
,,,ga250a-3__bf-1_a1-2.5_l-0.01-0.05,257988,21.91,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-1,258125,0.97,,
,,,ga250a-3__bf-1_a1-2.5_l-0.04-0.08,257976,15.62,,ga250a-3__bf-1_a1-2.5_idle-0.02_lh-10,258141,0.22,,
,,,ga250a-3__bf-1_a1-2.5_l-0.01-0.08,257966,14.87,,,,,,
,,,,,,,,,,,
,,,ga250a-4__bf-0_a1-2.5_l-0.01-0.05,257987,12.11,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.05,258117,0.14,,
,,,ga250a-4__bf-0_a1-2.5_l-0.04-0.08,257987,11.39,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.1,258117,0.14,,
,,,ga250a-4__bf-0_a1-2.5_l-0.01-0.08,258005,29.50,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.5,258123,0.31,,
,,,ga250a-4__bf-1_a1-2.5_l-0.01-0.05,257987,12.11,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1,258074,1.08,,
,,,ga250a-4__bf-1_a1-2.5_l-0.04-0.08,257987,11.49,,ga250a-4__bf-1_a1-2.5_idle-0.02_lh-10,258108,0.20,,
,,,ga250a-4__bf-1_a1-2.5_l-0.01-0.08,257987,11.36,,,,,,
,,,,,,,,,,,
