time spent so far, current solution cost, current qty moves
-2.76182e+09,763898,0
3.4e-05,763865,1
1.30959,763832,2
1.66303,763817,3
2.83906,763805,4
3.72517,763804,5
14.7509,763788,6
15.5224,763772,7
21.1346,763737,8
21.679,763735,9
22.3446,763723,10
26.8314,763709,11
27.0809,763705,12
33.9754,763701,13
119.375,763690,34
130.468,763676,35
131.711,763672,36
132.625,763643,37
135.449,763622,38
136.651,763619,39
156.282,763618,44
157.257,763613,45
157.992,763610,46
984.092,763587,291
985.325,763565,292
1266.54,763561,380
1267.27,763554,381
1268.07,763552,382
1276.69,763548,386
1304.57,763535,391
1304.86,763532,392
8120.43,763532,2268
