time spent so far, current solution cost, current qty moves
-2.77562e+09,511522,0
2.6e-05,511489,1
0.339918,511474,2
0.557206,511467,3
0.691528,511464,4
1.1549,511457,6
3.61486,511446,7
3.92888,511431,8
7.25331,511421,9
8.87781,511399,12
22.2607,511395,30
464.466,511393,450
464.586,511379,451
469.842,511377,457
473.266,511370,458
773.298,511369,754
776.415,511360,757
776.512,511353,758
776.718,511343,759
777.351,511342,760
1626.44,511330,1548
2348.68,511329,2223
2494.29,511319,2350
2494.54,511315,2351
2494.9,511307,2352
3873.42,511307,3603
