time spent so far, current solution cost, current qty moves
-2.76022e+09,258230,0
1e-06,258200,1
0.009745,258196,2
0.051474,258176,3
0.059934,258175,4
0.098589,258155,6
0.204957,258137,10
0.211934,258136,11
0.761895,258135,43
0.767148,258129,44
0.815329,258128,45
0.822299,258096,46
1.40083,258073,81
1.40398,258054,82
1.93192,258052,112
1.93442,258050,113
1.97156,258038,114
1.99281,258031,115
2.00126,258004,116
2.21585,258001,130
3.11827,257994,184
3.1212,257988,185
3.12832,257977,186
13.3912,257977,812
