time spent so far, current solution cost, current qty moves
-2.8564e+09,539156,0
2e-06,539140,1
0.590154,539119,4
1.38865,539020,8
1.45305,538926,9
1.4987,538900,10
3.30065,538897,23
3.33223,538811,24
3.54013,538741,25
3.58296,538740,26
3.8082,538713,28
3.84551,538710,29
3.8859,538707,30
4.2249,538706,31
4.36019,538698,32
4.4031,538685,33
4.42985,538626,34
4.90001,538609,36
5.07522,538588,38
5.12016,538546,39
5.14761,538471,40
5.24833,538445,41
11.9527,538437,81
12.0223,538379,82
12.5409,538374,83
12.749,538255,84
12.8386,538233,86
28.5889,538168,178
29.0214,538048,180
246.796,538048,1431
