time spent so far, current solution cost, current qty moves
-2.83105e+09,511570,0
2e-06,511549,1
0.056655,511530,2
0.195183,511499,4
0.210233,511490,5
0.255537,511488,6
0.539166,511474,7
0.595877,511464,8
0.615995,511459,9
0.62752,511457,10
3.58172,511444,23
4.11392,511443,24
4.17429,511419,25
4.62525,511411,26
4.7023,511404,27
5.37673,511391,29
5.38799,511389,30
5.54302,511351,34
5.67861,511345,35
6.19571,511340,37
6.24818,511326,38
6.5725,511267,39
6.58347,511254,40
7.12121,511247,41
7.13579,511241,42
7.73151,511238,43
7.95252,511233,45
8.02942,511226,46
8.20731,511215,47
8.26603,511205,48
8.29203,511199,49
9.10143,511194,52
9.11817,511192,53
9.17318,511178,54
9.20964,511168,55
43.2704,511151,303
205.109,511151,1554
