time spent so far, current solution cost, current qty moves
-2.78847e+09,797916,0
3e-06,797836,1
0.089613,797818,2
1.5998,797807,3
1.73903,797685,4
3.55462,797649,5
3.61998,797648,6
5.24423,797627,7
5.41039,797605,8
6.76072,797582,9
6.89156,797575,10
8.23075,797538,11
8.684,797506,13
8.81794,797490,14
10.053,797486,15
10.1404,797484,16
11.2833,797466,17
11.455,797448,18
12.8697,797438,21
14.2198,797426,23
14.3372,797349,24
14.4644,797330,25
14.5445,797304,26
71.5713,797295,115
71.7082,797210,116
71.8593,797033,117
73.6233,796970,118
74.288,796962,119
75.7229,796948,121
75.9421,796934,123
147.716,796838,242
147.881,796819,243
1235.6,796819,2119
