time spent so far, current solution cost, current qty moves
-1.40735e+14,258230,0
1.4e-05,258200,1
0.087179,258194,2
0.31578,258172,3
0.39151,258148,4
0.783877,258141,5
2.091,258137,10
2.18654,258136,11
13.6526,258127,91
14.0385,258114,93
21.4692,258106,142
21.7278,258096,145
21.7604,258094,146
27.7703,258090,184
38.0717,258087,266
38.0971,258083,267
42.9543,258067,307
43.0038,258052,308
43.2051,258045,309
43.2822,258044,310
43.3333,258033,311
46.3795,258025,336
46.3992,258018,337
46.4175,258015,338
47.2703,258011,343
47.3487,258008,344
47.5914,257999,346
47.9502,257990,349
48.8741,257979,355
48.9663,257976,357
66.6769,257976,483
