time spent so far, current solution cost, current qty moves
-3.00981e+09,258230,0
1.4e-05,258200,1
0.083136,258194,2
0.287167,258172,3
0.359078,258148,4
0.710399,258141,5
1.84406,258137,10
1.92536,258136,11
11.4275,258130,92
11.4449,258126,93
11.751,258125,94
12.0323,258104,95
12.1406,258078,97
29.3036,258069,248
29.416,258057,249
29.6177,258042,251
31.3585,258037,269
31.6804,258028,270
31.7331,258024,271
31.7568,258004,272
35.9742,257997,301
36.036,257993,302
37.0323,257992,308
37.0856,257970,309
42.148,257966,346
74.4065,257966,597
