time spent so far, current solution cost, current qty moves
2.6e-05,326490,1
0.600461,303570,2
0.997641,290317,3
1.19624,282325,4
1.65466,276347,5
1.7353,272884,6
1.78118,269959,7
1.96551,267967,8
1.98998,266296,9
2.31602,264767,10
2.42095,263734,11
2.7941,262810,12
2.89874,261982,13
3.24851,261333,14
3.65668,260730,15
3.85256,260284,16
4.32736,259921,17
4.64714,259604,18
4.89399,259340,19
5.11699,259085,20
5.51318,258893,21
5.56746,258711,22
6.16913,258572,23
6.31662,258459,24
6.49817,258369,25
6.74272,258295,26
7.11874,258243,27
7.66834,258183,28
7.68472,258139,29
7.83218,258113,30
8.29917,258092,31
8.41974,258077,32
8.9503,258064,33
9.05509,258009,34
9.08894,257974,35
9.47058,257961,36
10.1861,257949,39
10.2971,257934,40
10.7124,257925,42
11.0214,257923,43
11.934,257920,46
12.025,257897,47
12.1283,257891,48
12.3435,257880,50
12.4097,257873,51
12.4568,257844,52
12.726,257839,53
12.7679,257831,54
12.9839,257828,55
13.076,257783,56
13.1339,257772,57
13.3605,257765,59
13.4934,257761,61
13.7605,257758,63
14.0761,257656,64
14.4363,257631,66
14.5137,257606,67
14.8569,257585,69
17.0328,257582,85
17.1297,257579,86
17.353,257565,87
17.4042,257547,88
25.6387,257541,142
26.3211,257537,146
33.3686,257532,199
33.4422,257507,200
33.4911,257502,201
68.8475,257502,452
