time spent so far, current solution cost, current qty moves
8.8e-05,327856,1
0.200795,303498,2
0.321497,291271,3
0.951876,282711,4
1.11149,277635,5
1.44284,273660,6
2.11933,270778,7
2.75798,268495,8
3.21187,266608,9
3.35087,265277,10
3.80249,264206,11
4.35731,263317,12
5.0163,262596,13
5.07361,261975,14
5.1478,261372,15
5.64585,260906,16
6.18743,260528,17
6.48157,260201,18
6.58229,259898,19
7.01634,259605,20
7.15159,259395,21
7.71639,259202,22
7.97994,259061,23
8.30383,258967,24
8.57611,258879,25
9.16749,258800,26
9.39797,258728,27
9.80392,258669,28
10.3707,258604,29
10.4548,258557,30
10.7371,258491,31
10.8208,258458,32
11.3863,258430,33
11.6969,258417,34
12.2162,258407,35
12.7391,258405,36
12.8492,258388,37
12.8726,258373,38
13.201,258360,40
13.5588,258317,41
13.6116,258286,42
13.8111,258256,43
13.9003,258237,44
13.9387,258216,45
14.5649,258168,47
14.9952,258124,51
15.9983,258087,55
19.6115,258076,77
19.6546,258062,78
20.2869,258059,83
21.3383,258044,85
21.3813,258033,86
21.4421,258022,87
21.4962,258010,88
22.2275,258003,93
47.1624,257991,224
47.2735,257985,226
96.2179,257985,477
