time spent so far, current solution cost, current qty moves
-2.89618e+09,258230,0
1.7e-05,258200,1
0.087058,258194,2
0.293875,258172,3
0.367227,258148,4
0.716217,258141,5
1.87102,258137,10
1.95355,258136,11
13.0546,258127,91
13.4366,258114,93
20.7244,258106,142
20.975,258096,145
21.003,258094,146
26.7726,258090,184
37.0614,258087,266
37.0868,258083,267
41.9441,258067,307
41.9943,258052,308
42.1949,258045,309
42.2723,258044,310
42.3236,258033,311
45.3588,258025,336
45.3784,258018,337
45.3964,258015,338
46.2503,258011,343
46.3283,258008,344
46.5708,257999,346
46.9287,257990,349
47.8504,257979,355
47.9432,257976,357
81.3866,257976,608
